,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,0.03991596638655462,0.04411764705882353,0.0273109243697479,0.0273109243697479,0.02100840336134454,0.07983193277310924,0.14285714285714285,0.023109243697478993,0.01680672268907563,0.13025210084033614
političari,0.051440329218107,0.037037037037037035,0.03292181069958848,0.030864197530864196,0.03497942386831276,0.08024691358024691,0.16049382716049382,0.030864197530864196,0.018518518518518517,0.15432098765432098
liječnici,0.05426356589147287,0.060077519379844964,0.03682170542635659,0.060077519379844964,0.025193798449612403,0.09108527131782945,0.1375968992248062,0.03294573643410853,0.031007751937984496,0.12790697674418605
poslovni ljudi,0.020689655172413793,0.034482758620689655,0.013793103448275862,0.013793103448275862,0.032758620689655175,0.04655172413793104,0.1810344827586207,0.027586206896551724,0.0017241379310344827,0.15344827586206897
knjižničari,0.04338842975206612,0.047520661157024795,0.04132231404958678,0.045454545454545456,0.01859504132231405,0.09710743801652892,0.15495867768595042,0.04132231404958678,0.010330578512396695,0.12603305785123967
umjetnici,0.054924242424242424,0.05113636363636364,0.03409090909090909,0.03787878787878788,0.030303030303030304,0.08522727272727272,0.13636363636363635,0.030303030303030304,0.02462121212121212,0.11363636363636363
profesori,0.043137254901960784,0.03529411764705882,0.025490196078431372,0.023529411764705882,0.025490196078431372,0.06666666666666667,0.13333333333333333,0.01568627450980392,0.01764705882352941,0.12941176470588237
svećenici,0.05030181086519115,0.060362173038229376,0.03219315895372234,0.03822937625754527,0.02414486921529175,0.08651911468812877,0.13279678068410464,0.022132796780684104,0.026156941649899398,0.1267605633802817
šefovi,0.04158004158004158,0.037422037422037424,0.031185031185031187,0.02702702702702703,0.037422037422037424,0.06652806652806653,0.14760914760914762,0.02079002079002079,0.014553014553014554,0.14345114345114346
policajci,0.04609218436873747,0.04809619238476954,0.04408817635270541,0.04208416833667335,0.03206412825651302,0.09218436873747494,0.13026052104208416,0.03807615230460922,0.03206412825651302,0.13827655310621242
policajci,0.04609218436873747,0.04809619238476954,0.04408817635270541,0.04208416833667335,0.03206412825651302,0.09218436873747494,0.13026052104208416,0.03807615230460922,0.03206412825651302,0.13827655310621242
vojnici,0.05327868852459016,0.06557377049180328,0.036885245901639344,0.0471311475409836,0.02663934426229508,0.0942622950819672,0.12295081967213115,0.03483606557377049,0.01639344262295082,0.13729508196721313
znanstvenici,0.042682926829268296,0.046747967479674794,0.032520325203252036,0.04065040650406504,0.012195121951219513,0.08333333333333333,0.1443089430894309,0.022357723577235773,0.024390243902439025,0.12804878048780488
liječnici,0.05426356589147287,0.060077519379844964,0.03682170542635659,0.060077519379844964,0.025193798449612403,0.09108527131782945,0.1375968992248062,0.03294573643410853,0.031007751937984496,0.12790697674418605
Blagajnici,0.04702970297029703,0.04207920792079208,0.039603960396039604,0.024752475247524754,0.027227722772277228,0.08663366336633663,0.13861386138613863,0.034653465346534656,0.019801980198019802,0.13366336633663367
domaćice,0.05935251798561151,0.050359712230215826,0.03237410071942446,0.02697841726618705,0.03597122302158273,0.08093525179856115,0.15827338129496402,0.017985611510791366,0.01618705035971223,0.13309352517985612
učitelji,0.036637931034482756,0.04525862068965517,0.02586206896551724,0.028017241379310345,0.03017241379310345,0.07112068965517242,0.16163793103448276,0.021551724137931036,0.00646551724137931,0.14224137931034483
domari,0.03903345724907063,0.048327137546468404,0.031598513011152414,0.02973977695167286,0.02973977695167286,0.06505576208178439,0.12825278810408922,0.026022304832713755,0.026022304832713755,0.13382899628252787
modeli,0.020872865275142316,0.03984819734345351,0.018975332068311195,0.015180265654648957,0.026565464895635674,0.04933586337760911,0.13851992409867173,0.013282732447817837,0.0018975332068311196,0.13092979127134724
