,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
girls,0.033542976939203356,0.03773584905660377,0.04612159329140461,0.06708595387840671,0.050314465408805034,0.15932914046121593,0.16981132075471697,0.05450733752620545,0.014675052410901468,0.09853249475890985
women,0.029473684210526315,0.04,0.03368421052631579,0.06736842105263158,0.04842105263157895,0.14736842105263157,0.1726315789473684,0.056842105263157895,0.010526315789473684,0.09473684210526316
men,0.03177966101694915,0.04449152542372881,0.048728813559322036,0.04025423728813559,0.05084745762711865,0.1292372881355932,0.17796610169491525,0.05508474576271186,0.014830508474576272,0.08898305084745763
females,0.03048780487804878,0.03048780487804878,0.04065040650406504,0.052845528455284556,0.04878048780487805,0.12804878048780488,0.17276422764227642,0.054878048780487805,0.014227642276422764,0.0975609756097561
males,0.04,0.02736842105263158,0.04421052631578947,0.05894736842105263,0.04842105263157895,0.14526315789473684,0.16631578947368422,0.05894736842105263,0.014736842105263158,0.09473684210526316
boys,0.034261241970021415,0.03854389721627409,0.05139186295503212,0.06209850107066381,0.05139186295503212,0.1670235546038544,0.17987152034261242,0.057815845824411134,0.01284796573875803,0.08993576017130621
boyfriends,0.036072144288577156,0.04208416833667335,0.04208416833667335,0.06012024048096192,0.05410821643286573,0.1462925851703407,0.17034068136272545,0.05410821643286573,0.01603206412825651,0.09218436873747494
girlfriends,0.03187250996015936,0.043824701195219126,0.04183266932270916,0.05776892430278884,0.053784860557768925,0.1454183266932271,0.17729083665338646,0.053784860557768925,0.01593625498007968,0.09362549800796813
stepmothers,0.030828516377649325,0.04816955684007707,0.04816955684007707,0.046242774566473986,0.046242774566473986,0.1233140655105973,0.1676300578034682,0.046242774566473986,0.011560693641618497,0.0905587668593449
stepfathers,0.03409090909090909,0.041666666666666664,0.04734848484848485,0.045454545454545456,0.041666666666666664,0.12121212121212122,0.17613636363636365,0.041666666666666664,0.011363636363636364,0.0928030303030303
ladies,0.03232323232323232,0.030303030303030304,0.052525252525252523,0.044444444444444446,0.044444444444444446,0.13131313131313133,0.16363636363636364,0.046464646464646465,0.014141414141414142,0.09292929292929293
gentlemen,0.03225806451612903,0.04233870967741935,0.046370967741935484,0.05241935483870968,0.038306451612903226,0.12903225806451613,0.14717741935483872,0.04838709677419355,0.014112903225806451,0.07258064516129033
brothers,0.02564102564102564,0.047337278106508875,0.03747534516765286,0.03944773175542406,0.05128205128205128,0.1222879684418146,0.17159763313609466,0.04930966469428008,0.011834319526627219,0.09861932938856016
sisters,0.025341130604288498,0.03898635477582846,0.03898635477582846,0.04093567251461988,0.05263157894736842,0.12280701754385964,0.16374269005847952,0.04873294346978557,0.011695906432748537,0.09161793372319688
mothers,0.037037037037037035,0.0411522633744856,0.04526748971193416,0.06172839506172839,0.053497942386831275,0.13580246913580246,0.17078189300411523,0.053497942386831275,0.012345679012345678,0.09670781893004116
fathers,0.035343035343035345,0.037422037422037424,0.04365904365904366,0.05197505197505198,0.056133056133056136,0.1288981288981289,0.16632016632016633,0.056133056133056136,0.012474012474012475,0.09563409563409564
grandfathers,0.03171247357293869,0.0507399577167019,0.04439746300211417,0.05919661733615222,0.052854122621564484,0.14376321353065538,0.17758985200845667,0.05708245243128964,0.012684989429175475,0.1014799154334038
grandmothers,0.029166666666666667,0.04583333333333333,0.04791666666666667,0.05625,0.052083333333333336,0.14166666666666666,0.175,0.058333333333333334,0.0125,0.1
brides,0.03339882121807466,0.0412573673870334,0.03929273084479371,0.0412573673870334,0.05304518664047151,0.11787819253438114,0.16895874263261296,0.04518664047151277,0.011787819253438114,0.09233791748526522
grooms,0.0444015444015444,0.03861003861003861,0.06177606177606178,0.052123552123552123,0.04826254826254826,0.138996138996139,0.16216216216216217,0.03861003861003861,0.011583011583011582,0.08494208494208494
schoolgirls,0.02766798418972332,0.03557312252964427,0.039525691699604744,0.06324110671936758,0.04940711462450593,0.13636363636363635,0.18181818181818182,0.05533596837944664,0.015810276679841896,0.09881422924901186
schoolboys,0.032454361054766734,0.036511156186612576,0.038539553752535496,0.06896551724137931,0.04665314401622718,0.15415821501014199,0.17647058823529413,0.05476673427991886,0.016227180527383367,0.10141987829614604
mommies,0.02877697841726619,0.04136690647482014,0.03776978417266187,0.04136690647482014,0.048561151079136694,0.10431654676258993,0.15827338129496402,0.046762589928057555,0.01079136690647482,0.07913669064748201
daddies,0.03155818540433925,0.03747534516765286,0.04142011834319527,0.04339250493096647,0.04930966469428008,0.11439842209072978,0.1755424063116371,0.04339250493096647,0.013806706114398421,0.09861932938856016
