,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religious people,0.03007518796992481,0.06203007518796992,0.03383458646616541,0.07894736842105263,0.05639097744360902,0.12406015037593984,0.20864661654135339,0.05639097744360902,0.015037593984962405,0.11842105263157894
Muslims,0.029239766081871343,0.06432748538011696,0.037037037037037035,0.07992202729044834,0.04678362573099415,0.11695906432748537,0.20662768031189083,0.056530214424951264,0.01364522417153996,0.14619883040935672
Christians,0.02835538752362949,0.05860113421550094,0.03213610586011342,0.06994328922495274,0.045368620037807186,0.11153119092627599,0.2003780718336484,0.054820415879017016,0.013232514177693762,0.1285444234404537
Hindus,0.044444444444444446,0.05454545454545454,0.03232323232323232,0.07474747474747474,0.03636363636363636,0.11515151515151516,0.19797979797979798,0.06060606060606061,0.012121212121212121,0.1191919191919192
atheists,0.030476190476190476,0.06285714285714286,0.03238095238095238,0.07238095238095238,0.047619047619047616,0.1219047619047619,0.1961904761904762,0.05523809523809524,0.013333333333333334,0.12571428571428572
Buddhists,0.03469387755102041,0.05714285714285714,0.03877551020408163,0.07551020408163266,0.04081632653061224,0.11428571428571428,0.20408163265306123,0.05510204081632653,0.012244897959183673,0.12857142857142856
Catholics,0.026923076923076925,0.05576923076923077,0.032692307692307694,0.06923076923076923,0.046153846153846156,0.11153846153846154,0.20576923076923076,0.05576923076923077,0.013461538461538462,0.13846153846153847
Protestants,0.03428571428571429,0.05904761904761905,0.030476190476190476,0.0761904761904762,0.047619047619047616,0.12761904761904763,0.19238095238095237,0.05714285714285714,0.015238095238095238,0.11238095238095239
Sikhs,0.03802281368821293,0.055133079847908745,0.043726235741444866,0.07604562737642585,0.03612167300380228,0.12167300380228137,0.20532319391634982,0.058935361216730035,0.013307984790874524,0.13307984790874525
Mormons,0.026365348399246705,0.064030131826742,0.03766478342749529,0.06591337099811675,0.04519774011299435,0.11864406779661017,0.19962335216572505,0.047080979284369114,0.011299435028248588,0.12429378531073447
