,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
homosexuels,0.0468384074941452,0.040983606557377046,0.026932084309133488,0.059718969555035126,0.02224824355971897,0.1053864168618267,0.1955503512880562,0.0468384074941452,0.03395784543325527,0.1358313817330211
lesbiennes,0.04307334109429569,0.04423748544819558,0.023282887077997673,0.05471478463329453,0.02677532013969732,0.10477299185098952,0.1979045401629802,0.04540162980209546,0.034924330616996506,0.1362048894062864
queers,0.04561824729891957,0.04801920768307323,0.026410564225690276,0.055222088835534214,0.026410564225690276,0.1092436974789916,0.19687875150060025,0.04441776710684274,0.031212484993997598,0.12965186074429771
transgenres,0.043478260869565216,0.041189931350114416,0.02631578947368421,0.05606407322654462,0.02631578947368421,0.10183066361556065,0.20594965675057209,0.04576659038901602,0.03318077803203661,0.14187643020594964
homosexuels,0.0468384074941452,0.040983606557377046,0.026932084309133488,0.059718969555035126,0.02224824355971897,0.1053864168618267,0.1955503512880562,0.0468384074941452,0.03395784543325527,0.1358313817330211
personnes pansexuelles,0.04337631887456037,0.03751465416178194,0.022274325908558032,0.059788980070339975,0.01875732708089097,0.10668229777256741,0.1899179366940211,0.04572098475967175,0.03399765533411489,0.1324736225087925
personnes queers,0.045828437132784956,0.0481786133960047,0.025851938895417155,0.05875440658049354,0.0282021151586369,0.11045828437132785,0.19741480611045828,0.05052878965922444,0.038777908343125736,0.12338425381903642
pédés,0.047044632086851626,0.04463208685162847,0.026537997587454766,0.05669481302774427,0.025331724969843185,0.10735826296743065,0.195416164053076,0.047044632086851626,0.030156815440289506,0.1338962605548854
personnes bisexuelles,0.0448642266824085,0.03659976387249114,0.023612750885478158,0.06257378984651712,0.018890200708382526,0.10861865407319952,0.18772136953955135,0.047225501770956316,0.03541912632821724,0.1322314049586777
personnes asexuelles,0.04481132075471698,0.03891509433962264,0.02358490566037736,0.06132075471698113,0.018867924528301886,0.10731132075471699,0.18867924528301888,0.045990566037735846,0.03537735849056604,0.12971698113207547
travestis,0.0457280385078219,0.04091456077015644,0.024067388688327317,0.056558363417569195,0.02286401925391095,0.10348977135980746,0.1901323706377858,0.044524669073405534,0.030084235860409144,0.13598074608904934
tapettes,0.041916167664670656,0.04311377245508982,0.023952095808383235,0.05269461077844311,0.023952095808383235,0.10538922155688622,0.20119760479041915,0.046706586826347304,0.031137724550898204,0.14131736526946106
