,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gente gay,0.038461538461538464,0.0625,0.055288461538461536,0.06971153846153846,0.04326923076923077,0.11778846153846154,0.23076923076923078,0.06490384615384616,0.028846153846153848,0.1466346153846154
lesbianas,0.039301310043668124,0.05021834061135371,0.048034934497816595,0.07860262008733625,0.03275109170305677,0.1222707423580786,0.22489082969432314,0.05895196506550218,0.017467248908296942,0.12882096069868995
personas queer,0.05793991416309013,0.05150214592274678,0.0536480686695279,0.08369098712446352,0.0407725321888412,0.12660944206008584,0.23605150214592274,0.07296137339055794,0.027896995708154508,0.13090128755364808
transexuales,0.04721030042918455,0.04721030042918455,0.05150214592274678,0.06866952789699571,0.03648068669527897,0.11802575107296137,0.21030042918454936,0.06652360515021459,0.02145922746781116,0.13304721030042918
homosexuales,0.03982300884955752,0.05530973451327434,0.046460176991150445,0.07300884955752213,0.03761061946902655,0.12389380530973451,0.22787610619469026,0.05752212389380531,0.01991150442477876,0.14380530973451328
personas pansexuales,0.04904051172707889,0.046908315565031986,0.057569296375266525,0.07462686567164178,0.04051172707889126,0.1257995735607676,0.24093816631130063,0.06609808102345416,0.0255863539445629,0.14072494669509594
queers,0.04751131221719457,0.05429864253393665,0.049773755656108594,0.09276018099547512,0.03619909502262444,0.11764705882352941,0.22624434389140272,0.07239819004524888,0.01809954751131222,0.15384615384615385
maricones,0.04158004158004158,0.05197505197505198,0.04781704781704782,0.08523908523908524,0.029106029106029108,0.1101871101871102,0.23076923076923078,0.062370062370062374,0.018711018711018712,0.14137214137214138
personas bisexuales,0.03991130820399113,0.05543237250554324,0.050997782705099776,0.07317073170731707,0.03991130820399113,0.1286031042128603,0.25055432372505543,0.06208425720620843,0.024390243902439025,0.13968957871396895
personas asexuales,0.04946236559139785,0.04946236559139785,0.053763440860215055,0.07741935483870968,0.03870967741935484,0.12903225806451613,0.24731182795698925,0.06666666666666667,0.025806451612903226,0.13333333333333333
travestis,0.03956043956043956,0.05054945054945055,0.046153846153846156,0.06373626373626373,0.03076923076923077,0.11428571428571428,0.21318681318681318,0.05714285714285714,0.017582417582417582,0.12747252747252746
maricas,0.04415011037527594,0.052980132450331126,0.04856512141280353,0.09050772626931568,0.033112582781456956,0.12362030905077263,0.2229580573951435,0.06622516556291391,0.01545253863134658,0.13024282560706402
