,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.04114713216957606,0.0399002493765586,0.02119700748129676,0.06359102244389027,0.02119700748129676,0.10723192019950124,0.20448877805486285,0.04488778054862843,0.03117206982543641,0.1433915211970075
conservateurs,0.04721549636803874,0.04600484261501211,0.03026634382566586,0.05811138014527845,0.03026634382566586,0.10290556900726393,0.21428571428571427,0.0423728813559322,0.03026634382566586,0.14769975786924938
libéraux,0.04423748544819558,0.03958090803259604,0.023282887077997673,0.05238649592549476,0.01979045401629802,0.10477299185098952,0.20023282887077998,0.046565774155995346,0.030267753201396973,0.13853317811408614
partisans de de Trump,0.05067985166872682,0.03955500618046971,0.02595797280593325,0.059332509270704575,0.018541409147095178,0.11124845488257108,0.19406674907292953,0.049443757725587144,0.03337453646477132,0.1334981458590853
électeurs,0.04631828978622328,0.040380047505938245,0.022565320665083134,0.060570071258907364,0.020190023752969122,0.10807600950118765,0.19121140142517815,0.047505938242280284,0.028503562945368172,0.1377672209026128
communistes,0.04665071770334928,0.03827751196172249,0.025119617224880382,0.05980861244019139,0.017942583732057416,0.11244019138755981,0.1854066985645933,0.04784688995215311,0.03229665071770335,0.14473684210526316
capitalistes,0.04352941176470588,0.041176470588235294,0.024705882352941175,0.06235294117647059,0.02235294117647059,0.10823529411764705,0.1976470588235294,0.04823529411764706,0.03176470588235294,0.14941176470588236
populistes,0.05134474327628362,0.040342298288508556,0.02567237163814181,0.0647921760391198,0.019559902200488997,0.11124694376528117,0.19315403422982885,0.04645476772616137,0.03667481662591687,0.14425427872860636
socialistes,0.0457280385078219,0.04091456077015644,0.024067388688327317,0.05535499398315283,0.02045728038507822,0.11191335740072202,0.197352587244284,0.048134777376654635,0.032490974729241874,0.14681107099879662
indépendantistes catalans,0.04196642685851319,0.03597122302158273,0.022781774580335732,0.05875299760191847,0.02158273381294964,0.1079136690647482,0.20023980815347722,0.047961630695443645,0.02997601918465228,0.1498800959232614
