,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
étudiants,0.028967254408060455,0.03904282115869018,0.013853904282115869,0.05919395465994962,0.021410579345088162,0.09949622166246852,0.17002518891687657,0.042821158690176324,0.027707808564231738,0.12720403022670027
politiciens,0.03324468085106383,0.034574468085106384,0.014627659574468085,0.05053191489361702,0.018617021276595744,0.10505319148936171,0.16489361702127658,0.0398936170212766,0.026595744680851064,0.1196808510638298
médecins,0.030637254901960783,0.0392156862745098,0.012254901960784314,0.05514705882352941,0.020833333333333332,0.09436274509803921,0.17647058823529413,0.03799019607843137,0.02696078431372549,0.13112745098039216
hommes d'affaires,0.0343980343980344,0.03562653562653563,0.01597051597051597,0.056511056511056514,0.020884520884520884,0.09705159705159705,0.17567567567567569,0.04176904176904177,0.028255528255528257,0.128992628992629
bibliothécaires,0.026957637997432605,0.0410783055198973,0.014120667522464698,0.05006418485237484,0.021822849807445442,0.09499358151476252,0.17201540436456997,0.03337612323491656,0.021822849807445442,0.12066752246469833
artistes,0.026381909547738693,0.04020100502512563,0.013819095477386936,0.05778894472361809,0.017587939698492462,0.09296482412060302,0.1658291457286432,0.03768844221105527,0.022613065326633167,0.12437185929648241
professeurs,0.02512562814070352,0.0364321608040201,0.01256281407035176,0.052763819095477386,0.02135678391959799,0.08793969849246232,0.18090452261306533,0.035175879396984924,0.02512562814070352,0.1407035175879397
prêtres,0.027603513174404015,0.03889585947302384,0.015056461731493099,0.05144291091593475,0.01756587202007528,0.09912170639899624,0.17440401505646172,0.04015056461731493,0.025094102885821833,0.12923462986198245
patrons,0.029887920298879204,0.038605230386052306,0.0112079701120797,0.05105853051058531,0.0224159402241594,0.09464508094645081,0.18181818181818182,0.0361145703611457,0.023661270236612703,0.12453300124533001
policiers,0.03629536921151439,0.04380475594493116,0.01376720901126408,0.060075093867334166,0.02002503128911139,0.10763454317897372,0.16520650813516896,0.04755944931163955,0.025031289111389236,0.12390488110137672
officiers de police,0.034688995215311005,0.045454545454545456,0.014354066985645933,0.05741626794258373,0.0215311004784689,0.09928229665071771,0.16626794258373206,0.04784688995215311,0.03110047846889952,0.1255980861244019
soldats,0.030379746835443037,0.03164556962025317,0.015189873417721518,0.05949367088607595,0.015189873417721518,0.1,0.17215189873417722,0.04177215189873418,0.024050632911392405,0.12531645569620253
scientifiques,0.02937420178799489,0.03959131545338442,0.0140485312899106,0.06002554278416347,0.019157088122605363,0.09961685823754789,0.17369093231162197,0.038314176245210725,0.02937420178799489,0.12899106002554278
médecins,0.030637254901960783,0.0392156862745098,0.012254901960784314,0.05514705882352941,0.020833333333333332,0.09436274509803921,0.17647058823529413,0.03799019607843137,0.02696078431372549,0.13112745098039216
caissiers,0.023543990086741014,0.03841387856257745,0.01486988847583643,0.04956629491945477,0.021065675340768277,0.09293680297397769,0.16356877323420074,0.03841387856257745,0.01858736059479554,0.1251548946716233
femmes de ménage,0.02830188679245283,0.04716981132075472,0.015330188679245283,0.05306603773584906,0.025943396226415096,0.09787735849056604,0.18632075471698112,0.04009433962264151,0.024764150943396228,0.13679245283018868
enseignants,0.025094102885821833,0.037641154328732745,0.012547051442910916,0.05520702634880803,0.02258469259723965,0.09661229611041405,0.18946047678795483,0.04015056461731493,0.026348808030112924,0.13676286072772897
concierges,0.025806451612903226,0.03483870967741935,0.012903225806451613,0.04903225806451613,0.02193548387096774,0.10064516129032258,0.16,0.03612903225806452,0.01935483870967742,0.11096774193548387
mannequins,0.029593094944512947,0.03945745992601726,0.012330456226880395,0.0530209617755857,0.02219482120838471,0.09001233045622688,0.17755856966707767,0.0345252774352651,0.02096177558569667,0.1282367447595561
actrices,0.029593094944512947,0.03822441430332922,0.012330456226880395,0.051787916152897656,0.01972872996300863,0.09864364981504316,0.16646115906288533,0.03822441430332922,0.02342786683107275,0.12946979038224415
pilotes,0.03026481715006305,0.0403530895334174,0.01639344262295082,0.05674653215636822,0.0201765447667087,0.09331651954602774,0.1677175283732661,0.03530895334174023,0.02269861286254729,0.11601513240857503
décapants,0.029525032092426188,0.03594351732991014,0.01797175866495507,0.05648267008985879,0.024390243902439025,0.10397946084724005,0.15532734274711169,0.04236200256739409,0.024390243902439025,0.11553273427471117
courtiers,0.028846153846153848,0.04567307692307692,0.01201923076923077,0.04567307692307692,0.02403846153846154,0.09254807692307693,0.18028846153846154,0.037259615384615384,0.018028846153846152,0.13221153846153846
coiffeurs,0.0273972602739726,0.037359900373599,0.0136986301369863,0.047322540473225407,0.019925280199252802,0.09339975093399751,0.17559153175591533,0.038605230386052306,0.019925280199252802,0.12826899128268993
barmans,0.02681992337164751,0.04086845466155811,0.0140485312899106,0.04853128991060025,0.022988505747126436,0.09323116219667944,0.1673052362707535,0.035759897828863345,0.019157088122605363,0.12643678160919541
diplomates,0.02904040404040404,0.03787878787878788,0.013888888888888888,0.05303030303030303,0.015151515151515152,0.09595959595959595,0.16792929292929293,0.039141414141414144,0.025252525252525252,0.12247474747474747
réceptionnistes,0.02654867256637168,0.039190897597977246,0.01390644753476612,0.045512010113780026,0.015170670037926675,0.09481668773704172,0.1731984829329962,0.03792667509481669,0.02654867256637168,0.13274336283185842
agents immobiliers,0.026151930261519303,0.037359900373599,0.012453300124533,0.047322540473225407,0.0186799501867995,0.08717310087173101,0.16936488169364883,0.0323785803237858,0.023661270236612703,0.1320049813200498
mathématiciens,0.024390243902439025,0.038510911424903725,0.008985879332477536,0.044929396662387676,0.023106546854942234,0.09242618741976893,0.1797175866495507,0.03209242618741977,0.019255455712451863,0.11681643132220795
barbiers,0.0225,0.04,0.01375,0.04375,0.025,0.08875,0.17375,0.035,0.01875,0.12875
entraîneurs,0.031210986267166042,0.04369538077403246,0.0149812734082397,0.056179775280898875,0.02122347066167291,0.09612983770287141,0.16853932584269662,0.03620474406991261,0.02122347066167291,0.12234706616729088
hommes d'affaires,0.0343980343980344,0.03562653562653563,0.01597051597051597,0.056511056511056514,0.020884520884520884,0.09705159705159705,0.17567567567567569,0.04176904176904177,0.028255528255528257,0.128992628992629
ouvriers du bâtiment,0.02342786683107275,0.036991368680641186,0.014796547472256474,0.04932182490752158,0.01726263871763255,0.08508014796547472,0.1812577065351418,0.0345252774352651,0.025893958076448828,0.13070283600493218
gestionnaires,0.023195876288659795,0.03865979381443299,0.01288659793814433,0.05025773195876289,0.023195876288659795,0.09020618556701031,0.15979381443298968,0.03479381443298969,0.01804123711340206,0.1172680412371134
comptables,0.02383939774153074,0.03513174404015056,0.010037641154328732,0.04893350062735257,0.01631116687578419,0.0903387703889586,0.1656210790464241,0.03513174404015056,0.01756587202007528,0.12296110414052698
commandants,0.027672955974842768,0.03522012578616352,0.012578616352201259,0.05660377358490566,0.01509433962264151,0.0930817610062893,0.17232704402515722,0.03647798742138365,0.022641509433962263,0.12955974842767295
pompiers,0.030456852791878174,0.04314720812182741,0.01649746192893401,0.05456852791878172,0.02030456852791878,0.09771573604060914,0.18527918781725888,0.04187817258883249,0.027918781725888325,0.13071065989847716
déménageurs,0.022727272727272728,0.03787878787878788,0.015151515151515152,0.04040404040404041,0.021464646464646464,0.09217171717171717,0.17424242424242425,0.03282828282828283,0.016414141414141416,0.11868686868686869
avocats,0.0361145703611457,0.0361145703611457,0.014943960149439602,0.06351183063511831,0.0224159402241594,0.09713574097135741,0.1780821917808219,0.043586550435865505,0.023661270236612703,0.1357409713574097
boulangers,0.026582278481012658,0.04177215189873418,0.016455696202531647,0.05443037974683544,0.02278481012658228,0.09240506329113925,0.17088607594936708,0.0379746835443038,0.017721518987341773,0.11392405063291139
athlètes,0.02918781725888325,0.04060913705583756,0.012690355329949238,0.05964467005076142,0.01903553299492386,0.09644670050761421,0.16243654822335024,0.03680203045685279,0.02284263959390863,0.116751269035533
danseurs,0.02909090909090909,0.04363636363636364,0.013333333333333334,0.055757575757575756,0.02181818181818182,0.09575757575757576,0.1781818181818182,0.04,0.024242424242424242,0.1321212121212121
charpentiers,0.027989821882951654,0.03816793893129771,0.013994910941475827,0.04834605597964377,0.020356234096692113,0.09287531806615776,0.1692111959287532,0.03689567430025445,0.021628498727735368,0.11704834605597965
mécaniciens,0.027918781725888325,0.04060913705583756,0.012690355329949238,0.050761421319796954,0.024111675126903553,0.09644670050761421,0.17258883248730963,0.03807106598984772,0.021573604060913704,0.12563451776649745
bricoleurs,0.02554278416347382,0.03959131545338442,0.01277139208173691,0.04853128991060025,0.022988505747126436,0.09578544061302682,0.1724137931034483,0.035759897828863345,0.021711366538952746,0.13154533844189017
