,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,0.02681992337164751,0.038314176245210725,0.0140485312899106,0.06002554278416347,0.020434227330779056,0.0970625798212005,0.17369093231162197,0.03959131545338442,0.02681992337164751,0.1251596424010217
musulmans,0.03598971722365039,0.032133676092544985,0.015424164524421594,0.06812339331619537,0.02442159383033419,0.10411311053984576,0.17737789203084833,0.04498714652956298,0.028277634961439587,0.13496143958868895
chrétiens,0.03088803088803089,0.032175032175032175,0.01673101673101673,0.06306306306306306,0.018018018018018018,0.10296010296010295,0.17631917631917632,0.04504504504504504,0.028314028314028315,0.138996138996139
hindous,0.035487959442332066,0.043092522179974654,0.015209125475285171,0.060836501901140684,0.022813688212927757,0.10012674271229405,0.16983523447401774,0.036755386565272496,0.02788339670468948,0.11026615969581749
athées,0.029925187032418952,0.0399002493765586,0.016209476309226933,0.05860349127182045,0.0199501246882793,0.09850374064837905,0.1708229426433915,0.03865336658354115,0.022443890274314215,0.12219451371571072
bouddhistes,0.030848329048843187,0.04113110539845758,0.014138817480719794,0.05141388174807198,0.02313624678663239,0.10282776349614396,0.16966580976863754,0.03598971722365039,0.015424164524421594,0.11439588688946016
catholiques,0.032953105196451206,0.03929024081115336,0.015209125475285171,0.062103929024081114,0.021546261089987327,0.10646387832699619,0.16983523447401774,0.043092522179974654,0.025348542458808618,0.13181242078580482
protestants,0.029754204398447608,0.03880983182406209,0.0129366106080207,0.06338939197930142,0.018111254851228976,0.10090556274256145,0.17723156532988357,0.040103492884864166,0.02328589909443726,0.129366106080207
sikhs,0.028605482717520857,0.03575685339690107,0.0166865315852205,0.07151370679380215,0.026221692491060787,0.08820023837902265,0.1632896305125149,0.03933253873659118,0.03098927294398093,0.11918951132300358
mormons,0.029224904701397714,0.03303684879288437,0.01397712833545108,0.05082592121982211,0.016518424396442185,0.10038119440914867,0.16772554002541296,0.036848792884371026,0.021601016518424398,0.1207115628970775
