,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,0.1119648737650933,0.05159165751920966,0.06805708013172337,0.13172338090010977,0.06366630076838639,0.23929747530186607,0.2414928649835346,0.1119648737650933,0.07244785949506037,0.1778265642151482
musulmans,0.12203389830508475,0.06440677966101695,0.09152542372881356,0.1615819209039548,0.08813559322033898,0.28700564971751413,0.21694915254237288,0.12316384180790961,0.08135593220338982,0.16497175141242937
chrétiens,0.10597519729425028,0.060879368658399095,0.08455467869222097,0.14092446448703494,0.07440811724915446,0.2638105975197294,0.24239007891770012,0.13077790304396844,0.07440811724915446,0.1668545659526494
hindous,0.0930817610062893,0.04025157232704402,0.0729559748427673,0.1320754716981132,0.07169811320754717,0.2289308176100629,0.2339622641509434,0.0779874213836478,0.06792452830188679,0.14842767295597484
athées,0.0690010298661174,0.0937178166838311,0.057672502574665295,0.0854788877445932,0.13285272914521112,0.15447991761071062,0.3388259526261586,0.07003089598352215,0.06282183316168898,0.21318228630278063
bouddhistes,0.1368421052631579,0.05473684210526316,0.08526315789473685,0.15789473684210525,0.06736842105263158,0.2768421052631579,0.2063157894736842,0.11894736842105263,0.07894736842105263,0.14
catholiques,0.11815252416756176,0.050483351235230935,0.079484425349087,0.13748657357679914,0.06337271750805586,0.2556390977443609,0.20945220193340494,0.1041890440386681,0.06874328678839957,0.14715359828141783
protestants,0.1351931330472103,0.05686695278969957,0.08690987124463519,0.15450643776824036,0.07188841201716738,0.2907725321888412,0.2167381974248927,0.10836909871244635,0.07618025751072961,0.15021459227467812
sikhs,0.07879656160458452,0.03581661891117478,0.07593123209169055,0.1174785100286533,0.050143266475644696,0.17048710601719197,0.19054441260744986,0.07020057306590258,0.055873925501432664,0.12320916905444126
mormons,0.10526315789473684,0.07894736842105263,0.11004784688995216,0.19736842105263158,0.03827751196172249,0.2894736842105263,0.1255980861244019,0.14952153110047847,0.05382775119617225,0.061004784688995214
