,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religiozni ljudi,0.07349896480331262,0.07867494824016563,0.037267080745341616,0.057971014492753624,0.052795031055900624,0.12939958592132506,0.15527950310559005,0.061076604554865424,0.039337474120082816,0.09834368530020704
Muslimani,0.08184679958027283,0.07240293809024134,0.04302203567681007,0.06610703043022036,0.040923399790136414,0.14270724029380902,0.14480587618048268,0.06610703043022036,0.023084994753410283,0.09338929695697797
Kršćani,0.07739938080495357,0.07739938080495357,0.038183694530443756,0.058823529411764705,0.04540763673890609,0.13209494324045407,0.14860681114551083,0.06191950464396285,0.02889576883384933,0.09803921568627451
Hindusi,0.07859358841778696,0.07445708376421924,0.04033092037228542,0.06308169596690796,0.045501551189245086,0.13029989658738367,0.15098241985522234,0.0672182006204757,0.028955532574974147,0.08376421923474664
ateisti,0.07959183673469387,0.0663265306122449,0.04081632653061224,0.0663265306122449,0.04081632653061224,0.14285714285714285,0.14387755102040817,0.06326530612244897,0.02857142857142857,0.08673469387755102
Budisti,0.07894736842105263,0.06631578947368422,0.04105263157894737,0.061052631578947365,0.04631578947368421,0.12947368421052632,0.15157894736842106,0.05578947368421053,0.02631578947368421,0.09368421052631579
Katolici,0.08113804004214963,0.08324552160168598,0.037934668071654375,0.059009483667017915,0.051633298208640675,0.13382507903055849,0.15384615384615385,0.0642781875658588,0.03477344573234984,0.1053740779768177
Protestanti,0.07740585774058577,0.08263598326359832,0.0397489539748954,0.0596234309623431,0.049163179916317995,0.12552301255230125,0.14748953974895398,0.06485355648535565,0.03347280334728033,0.09414225941422594
Sikhi,0.07533539731682147,0.06604747162022703,0.03715170278637771,0.07017543859649122,0.04437564499484004,0.1393188854489164,0.14654282765737875,0.06707946336429309,0.02786377708978328,0.08771929824561403
Mormoni,0.07487179487179488,0.06974358974358974,0.035897435897435895,0.06974358974358974,0.046153846153846156,0.13538461538461538,0.14666666666666667,0.06871794871794872,0.03076923076923077,0.08717948717948718
