,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,0.03486529318541997,0.06973058637083994,0.02694136291600634,0.03645007923930269,0.03645007923930269,0.08716323296354993,0.13312202852614896,0.04754358161648178,0.025356576862123614,0.12202852614896989
konzervativci,0.037096774193548385,0.07419354838709677,0.027419354838709678,0.04032258064516129,0.041935483870967745,0.09516129032258064,0.14838709677419354,0.05,0.027419354838709678,0.13225806451612904
liberali,0.04019292604501608,0.07556270096463022,0.024115755627009645,0.03697749196141479,0.04823151125401929,0.08360128617363344,0.1527331189710611,0.04019292604501608,0.02090032154340836,0.13665594855305466
trumpove pristaše,0.04329004329004329,0.05772005772005772,0.025974025974025976,0.03751803751803752,0.030303030303030304,0.07792207792207792,0.12265512265512266,0.03751803751803752,0.02886002886002886,0.10678210678210678
birači,0.03715670436187399,0.06946688206785137,0.022617124394184167,0.035541195476575124,0.04361873990306947,0.08077544426494346,0.13893376413570274,0.0420032310177706,0.025848142164781908,0.13570274636510501
komunisti,0.04355400696864112,0.06794425087108014,0.029616724738675958,0.033101045296167246,0.04355400696864112,0.08536585365853659,0.16202090592334495,0.041811846689895474,0.02264808362369338,0.1445993031358885
kapitalisti,0.05008347245409015,0.0667779632721202,0.03171953255425709,0.0333889816360601,0.04340567612687813,0.08681135225375626,0.1669449081803005,0.04674457429048414,0.021702838063439065,0.14858096828046743
narodnjaci,0.037337662337662336,0.06655844155844155,0.027597402597402596,0.03409090909090909,0.030844155844155844,0.08116883116883117,0.12175324675324675,0.03896103896103896,0.025974025974025976,0.11525974025974026
socijalisti,0.04713804713804714,0.06902356902356903,0.02861952861952862,0.03535353535353535,0.045454545454545456,0.08922558922558922,0.15824915824915825,0.045454545454545456,0.02356902356902357,0.14309764309764308
katalonski independisti,0.04682779456193353,0.0649546827794562,0.03172205438066465,0.04078549848942598,0.03625377643504532,0.09214501510574018,0.1299093655589124,0.04380664652567976,0.03625377643504532,0.12084592145015106
