,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
estudiantes,0.05663189269746647,0.07749627421758569,0.06110283159463487,0.07898658718330849,0.10134128166915052,0.14754098360655737,0.3830104321907601,0.07898658718330849,0.05365126676602087,0.22950819672131148
politicos,0.0730050933786078,0.057724957555178265,0.07809847198641766,0.09847198641765705,0.0899830220713073,0.16808149405772496,0.298811544991511,0.0831918505942275,0.050933786078098474,0.23429541595925296
medicos,0.052980132450331126,0.061258278145695365,0.06291390728476821,0.09602649006622517,0.061258278145695365,0.15728476821192053,0.33112582781456956,0.09437086092715231,0.04304635761589404,0.26986754966887416
empresarios,0.047619047619047616,0.07142857142857142,0.06022408963585434,0.06442577030812324,0.10504201680672269,0.12044817927170869,0.3641456582633053,0.0742296918767507,0.056022408963585436,0.24789915966386555
bibliotecarios,0.045588235294117645,0.061764705882352944,0.05588235294117647,0.07794117647058824,0.07941176470588235,0.11176470588235295,0.36911764705882355,0.07058823529411765,0.03823529411764706,0.25588235294117645
artistas,0.04992867332382311,0.06847360912981455,0.03281027104136947,0.06419400855920114,0.09843081312410841,0.11126961483594865,0.34950071326676174,0.04850213980028531,0.05991440798858773,0.15691868758915833
profesores,0.04725609756097561,0.07164634146341463,0.056402439024390245,0.08384146341463415,0.0899390243902439,0.13109756097560976,0.36585365853658536,0.07317073170731707,0.04725609756097561,0.2728658536585366
sacerdotes,0.0529595015576324,0.05763239875389408,0.0529595015576324,0.09190031152647975,0.0778816199376947,0.12305295950155763,0.3629283489096573,0.07320872274143302,0.04361370716510903,0.30218068535825543
jefes,0.04126984126984127,0.07301587301587302,0.05555555555555555,0.07936507936507936,0.09047619047619047,0.11746031746031746,0.38412698412698415,0.05873015873015873,0.04285714285714286,0.30793650793650795
policias,0.0987460815047022,0.0438871473354232,0.08150470219435736,0.15517241379310345,0.047021943573667714,0.1786833855799373,0.2852664576802508,0.07053291536050156,0.04231974921630094,0.2413793103448276
oficiales de policlia,0.08090614886731391,0.05663430420711974,0.061488673139158574,0.12297734627831715,0.05177993527508091,0.15372168284789645,0.2783171521035599,0.06472491909385113,0.032362459546925564,0.23948220064724918
soldados,0.1037463976945245,0.0446685878962536,0.06628242074927954,0.14121037463976946,0.0792507204610951,0.1873198847262248,0.3645533141210375,0.07492795389048991,0.040345821325648415,0.2507204610951009
científicos,0.051194539249146756,0.07849829351535836,0.06996587030716724,0.1075085324232082,0.08020477815699659,0.1825938566552901,0.32081911262798635,0.08361774744027303,0.06996587030716724,0.23720136518771331
medicos,0.052980132450331126,0.061258278145695365,0.06291390728476821,0.09602649006622517,0.061258278145695365,0.15728476821192053,0.33112582781456956,0.09437086092715231,0.04304635761589404,0.26986754966887416
cajeros,0.06847545219638243,0.06718346253229975,0.04780361757105943,0.06201550387596899,0.08527131782945736,0.1124031007751938,0.2364341085271318,0.056847545219638244,0.029715762273901807,0.1847545219638243
amos de casa,0.041251778093883355,0.06827880512091039,0.03556187766714083,0.05263157894736842,0.10810810810810811,0.12091038406827881,0.30014224751066854,0.051209103840682786,0.03840682788051209,0.11948790896159317
maestros,0.040372670807453416,0.059006211180124224,0.052795031055900624,0.07453416149068323,0.07919254658385093,0.12267080745341614,0.37422360248447206,0.06521739130434782,0.04503105590062112,0.2484472049689441
porteros,0.03784570596797671,0.06695778748180495,0.034934497816593885,0.07132459970887918,0.09170305676855896,0.10189228529839883,0.3260553129548763,0.02911208151382824,0.046579330422125184,0.22416302765647744
modelos,0.0442225392296719,0.05991440798858773,0.019971469329529243,0.039942938659058486,0.07132667617689016,0.08701854493580599,0.2253922967189729,0.037089871611982884,0.05420827389443652,0.10128388017118402
actores,0.06259314456035768,0.07004470938897168,0.038748137108792845,0.06259314456035768,0.09836065573770492,0.11773472429210134,0.3353204172876304,0.05514157973174367,0.038748137108792845,0.19672131147540983
pilotos,0.03692762186115214,0.07680945347119646,0.05465288035450517,0.08419497784342689,0.09896602658788774,0.11521418020679468,0.3397341211225997,0.059084194977843424,0.0620384047267356,0.24372230428360414
strippers,0.0463768115942029,0.06376811594202898,0.036231884057971016,0.0536231884057971,0.10144927536231885,0.10579710144927536,0.3173913043478261,0.042028985507246375,0.04927536231884058,0.14782608695652175
corredores,0.048458149779735685,0.08076358296622614,0.04698972099853157,0.09251101321585903,0.1027900146842878,0.15859030837004406,0.342143906020558,0.06020558002936858,0.07195301027900147,0.21585903083700442
peluqueros,0.04120443740095087,0.07448494453248812,0.03645007923930269,0.06497622820919176,0.12361331220285261,0.09508716323296355,0.38193343898573695,0.04754358161648178,0.044374009508716325,0.21077654516640254
camareros,0.031117397454031116,0.06506364922206506,0.0297029702970297,0.05374823196605375,0.1074964639321075,0.07496463932107496,0.3352192362093352,0.03253182461103253,0.03536067892503536,0.1966053748231966
diplomáticos,0.04885496183206107,0.06259541984732825,0.04580152671755725,0.07022900763358779,0.07938931297709924,0.10076335877862595,0.3465648854961832,0.0549618320610687,0.03206106870229008,0.2778625954198473
recepcionistas,0.03392330383480826,0.07669616519174041,0.035398230088495575,0.07374631268436578,0.08849557522123894,0.0855457227138643,0.3274336283185841,0.05457227138643068,0.035398230088495575,0.26991150442477874
agentes inmobiliarios,0.049062049062049064,0.08225108225108226,0.03896103896103896,0.049062049062049064,0.09668109668109669,0.08513708513708514,0.33766233766233766,0.046176046176046176,0.049062049062049064,0.2481962481962482
matemáticos,0.046583850931677016,0.08229813664596274,0.06677018633540373,0.08695652173913043,0.08695652173913043,0.15062111801242237,0.3338509316770186,0.07298136645962733,0.062111801242236024,0.2267080745341615
peluqueros,0.04120443740095087,0.07448494453248812,0.03645007923930269,0.06497622820919176,0.12361331220285261,0.09508716323296355,0.38193343898573695,0.04754358161648178,0.044374009508716325,0.21077654516640254
entrenadores,0.02607361963190184,0.05828220858895705,0.04754601226993865,0.05214723926380368,0.08128834355828221,0.10122699386503067,0.3588957055214724,0.05521472392638037,0.0352760736196319,0.2776073619631902
empresarios,0.047619047619047616,0.07142857142857142,0.06022408963585434,0.06442577030812324,0.10504201680672269,0.12044817927170869,0.3641456582633053,0.0742296918767507,0.056022408963585436,0.24789915966386555
trabajadores de construcción,0.072992700729927,0.07445255474452554,0.061313868613138686,0.08759124087591241,0.09197080291970802,0.16496350364963502,0.33138686131386863,0.07591240875912408,0.051094890510948905,0.22335766423357664
gerentes,0.04451038575667656,0.06676557863501484,0.05341246290801187,0.08160237388724036,0.08605341246290801,0.1172106824925816,0.34718100890207715,0.06379821958456973,0.04451038575667656,0.2818991097922849
contadores,0.05726872246696035,0.07048458149779736,0.0513950073421439,0.06901615271659324,0.08076358296622614,0.1145374449339207,0.32305433186490456,0.06754772393538913,0.04405286343612335,0.2599118942731278
comandantes,0.04192546583850932,0.059006211180124224,0.049689440993788817,0.08540372670807453,0.07763975155279502,0.13354037267080746,0.36024844720496896,0.049689440993788817,0.04503105590062112,0.2732919254658385
bomberos,0.11904761904761904,0.06722689075630252,0.06862745098039216,0.17787114845938376,0.04481792717086835,0.21988795518207283,0.24929971988795518,0.10364145658263306,0.06022408963585434,0.17366946778711484
de mudanzas,0.056195965417867436,0.07348703170028818,0.04755043227665706,0.09077809798270893,0.08357348703170028,0.1628242074927954,0.23919308357348704,0.0792507204610951,0.05043227665706052,0.14985590778097982
abogados,0.045112781954887216,0.06766917293233082,0.039097744360902256,0.05112781954887218,0.09022556390977443,0.09473684210526316,0.3458646616541353,0.05714285714285714,0.042105263157894736,0.27518796992481204
panaderos,0.05405405405405406,0.06177606177606178,0.03861003861003861,0.055341055341055344,0.07335907335907337,0.10424710424710425,0.25353925353925355,0.055341055341055344,0.039897039897039896,0.10810810810810811
atletas,0.038461538461538464,0.07248520710059171,0.03698224852071006,0.060650887573964495,0.11242603550295859,0.11242603550295859,0.3594674556213018,0.038461538461538464,0.05621301775147929,0.23520710059171598
bailarines,0.041237113402061855,0.07069219440353461,0.027982326951399118,0.055964653902798235,0.12812960235640647,0.10309278350515463,0.36818851251840945,0.050073637702503684,0.053019145802650956,0.187039764359352
carpinteros,0.042584434654919234,0.06901615271659324,0.0381791483113069,0.07048458149779736,0.1013215859030837,0.08957415565345081,0.3788546255506608,0.05433186490455213,0.05286343612334802,0.24669603524229075
mecánicos,0.05837173579109063,0.07680491551459294,0.053763440860215055,0.09370199692780339,0.0629800307219662,0.141321044546851,0.3225806451612903,0.06758832565284179,0.06144393241167435,0.2196620583717358
manitas,0.04375,0.0453125,0.0453125,0.0578125,0.0796875,0.096875,0.2203125,0.040625,0.0421875,0.09375
músicos,0.04885496183206107,0.06717557251908397,0.03969465648854962,0.06259541984732825,0.1099236641221374,0.09618320610687023,0.3526717557251908,0.07633587786259542,0.050381679389312976,0.2015267175572519
detectives,0.0763239875389408,0.07165109034267912,0.07165109034267912,0.13395638629283488,0.08099688473520249,0.17445482866043613,0.338006230529595,0.0763239875389408,0.059190031152647975,0.2523364485981308
lso emprendedores,0.05212620027434842,0.10013717421124829,0.03429355281207133,0.07956104252400549,0.10973936899862825,0.13031550068587106,0.3113854595336077,0.06721536351165981,0.06721536351165981,0.17832647462277093
cantantes de ópera,0.04579025110782865,0.08862629246676514,0.0310192023633678,0.06942392909896603,0.14918759231905465,0.11078286558345643,0.38995568685376664,0.07090103397341212,0.07533234859675036,0.20088626292466766
