,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religiozni ljudi,0.038461538461538464,0.07167832167832168,0.024475524475524476,0.03671328671328671,0.045454545454545456,0.08216783216783216,0.15384615384615385,0.04895104895104895,0.022727272727272728,0.1451048951048951
Muslimani,0.04397705544933078,0.08030592734225621,0.02676864244741874,0.03441682600382409,0.04397705544933078,0.08604206500956023,0.14149139579349904,0.04206500956022945,0.028680688336520075,0.14340344168260039
Kršćani,0.033797216699801194,0.07157057654075547,0.027833001988071572,0.03777335984095427,0.041749502982107355,0.07554671968190854,0.14512922465208747,0.03777335984095427,0.02584493041749503,0.14314115308151093
Hindusi,0.038869257950530034,0.0706713780918728,0.028268551236749116,0.0353356890459364,0.037102473498233215,0.09010600706713781,0.13427561837455831,0.045936395759717315,0.03180212014134275,0.13074204946996468
ateisti,0.04437869822485207,0.0695266272189349,0.02514792899408284,0.03550295857988166,0.03698224852071006,0.07988165680473373,0.13609467455621302,0.03698224852071006,0.03106508875739645,0.11538461538461539
Budisti,0.038394415357766144,0.06980802792321117,0.02617801047120419,0.038394415357766144,0.038394415357766144,0.08900523560209424,0.13263525305410123,0.04363001745200698,0.029668411867364748,0.12914485165794065
Katolici,0.0347985347985348,0.06227106227106227,0.027472527472527472,0.03296703296703297,0.029304029304029304,0.07142857142857142,0.14102564102564102,0.0347985347985348,0.023809523809523808,0.12637362637362637
Protestanti,0.0378657487091222,0.07401032702237521,0.025817555938037865,0.03614457831325301,0.04130808950086059,0.0757314974182444,0.14629948364888123,0.03614457831325301,0.027538726333907058,0.13080895008605853
Sikhi,0.038917089678511,0.05245346869712352,0.02030456852791878,0.03722504230118443,0.028764805414551606,0.07952622673434856,0.11505922165820642,0.047377326565143825,0.02030456852791878,0.12013536379018612
Mormoni,0.04391891891891892,0.060810810810810814,0.02195945945945946,0.03885135135135135,0.037162162162162164,0.09121621621621621,0.13006756756756757,0.048986486486486486,0.02195945945945946,0.13006756756756757
