anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
40.0,33.0,35.0,50.0,51.0,128.0,132.0,66.0,23.0,71.0
48.0,29.0,42.0,60.0,49.0,144.0,127.0,70.0,23.0,68.0
46.0,51.0,39.0,50.0,57.0,130.0,152.0,64.0,26.0,73.0
46.0,38.0,42.0,57.0,56.0,138.0,144.0,62.0,27.0,72.0
40.0,49.0,31.0,40.0,65.0,107.0,162.0,54.0,19.0,69.0
56.0,40.0,43.0,60.0,54.0,144.0,142.0,72.0,26.0,76.0
50.0,33.0,43.0,58.0,54.0,137.0,146.0,70.0,27.0,77.0
53.0,33.0,45.0,58.0,54.0,145.0,131.0,70.0,23.0,74.0
34.0,35.0,25.0,30.0,41.0,88.0,101.0,48.0,14.0,59.0
65.0,46.0,56.0,85.0,39.0,169.0,116.0,82.0,28.0,63.0
