,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
inmigrantes,0.03773584905660377,0.05929919137466307,0.018867924528301886,0.0646900269541779,0.03234501347708895,0.0862533692722372,0.18059299191374664,0.05390835579514825,0.013477088948787063,0.1078167115902965
conservadores,0.0391644908616188,0.04960835509138381,0.018276762402088774,0.06266318537859007,0.03655352480417755,0.08093994778067885,0.206266318537859,0.04699738903394256,0.013054830287206266,0.13577023498694518
liberales,0.035422343324250684,0.051771117166212535,0.02452316076294278,0.05722070844686648,0.04087193460490463,0.08446866485013624,0.2125340599455041,0.05994550408719346,0.013623978201634877,0.1444141689373297
partidiarios de Trump,0.04473684210526316,0.05789473684210526,0.021052631578947368,0.07894736842105263,0.03684210526315789,0.10263157894736842,0.22105263157894736,0.06315789473684211,0.013157894736842105,0.10526315789473684
votantes,0.03826530612244898,0.04336734693877551,0.01020408163265306,0.05357142857142857,0.02806122448979592,0.07397959183673469,0.18112244897959184,0.05357142857142857,0.012755102040816327,0.125
comunistas,0.036211699164345405,0.05013927576601671,0.011142061281337047,0.0584958217270195,0.03899721448467967,0.07799442896935933,0.20891364902506965,0.06128133704735376,0.011142061281337047,0.11977715877437325
capitalistas,0.03598971722365039,0.04627249357326478,0.02313624678663239,0.06426735218508997,0.017994858611825194,0.08997429305912596,0.17737789203084833,0.04113110539845758,0.012853470437017995,0.14138817480719795
populistas,0.03314917127071823,0.052486187845303865,0.011049723756906077,0.06077348066298342,0.03867403314917127,0.08011049723756906,0.20994475138121546,0.052486187845303865,0.013812154696132596,0.1270718232044199
socialistas,0.027247956403269755,0.04632152588555858,0.021798365122615803,0.05449591280653951,0.0326975476839237,0.0681198910081744,0.20708446866485014,0.04632152588555858,0.010899182561307902,0.1553133514986376
independentistas catalanes,0.03608247422680412,0.061855670103092786,0.028350515463917526,0.06443298969072164,0.04639175257731959,0.0979381443298969,0.19072164948453607,0.06958762886597938,0.015463917525773196,0.14690721649484537
