,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
djevojke,0.032948929159802305,0.06589785831960461,0.019769357495881382,0.03459637561779242,0.039538714991762765,0.06754530477759473,0.1400329489291598,0.03459637561779242,0.023064250411861616,0.12520593080724876
žene,0.022690437601296597,0.06158833063209076,0.014586709886547812,0.024311183144246355,0.03727714748784441,0.06158833063209076,0.1426256077795786,0.027552674230145867,0.024311183144246355,0.13614262560777957
muškarci,0.03826955074875208,0.0632279534109817,0.013311148086522463,0.033277870216306155,0.03993344425956739,0.07820299500831947,0.14143094841930118,0.04159733777038269,0.02329450915141431,0.129783693843594
ženske,0.021739130434782608,0.055900621118012424,0.012422360248447204,0.023291925465838508,0.03571428571428571,0.055900621118012424,0.13509316770186336,0.027950310559006212,0.020186335403726708,0.12111801242236025
mužjaci,0.03896103896103896,0.07467532467532467,0.025974025974025976,0.037337662337662336,0.04707792207792208,0.07792207792207792,0.14935064935064934,0.04220779220779221,0.02922077922077922,0.137987012987013
dječaci,0.03281519861830743,0.06390328151986183,0.024179620034542316,0.02936096718480138,0.04145077720207254,0.07253886010362694,0.14507772020725387,0.03626943005181347,0.025906735751295335,0.1381692573402418
dečki,0.030874785591766724,0.0634648370497427,0.02058319039451115,0.0274442538593482,0.04288164665523156,0.06174957118353345,0.14922813036020582,0.030874785591766724,0.0274442538593482,0.14408233276157806
djevojke,0.032948929159802305,0.06589785831960461,0.019769357495881382,0.03459637561779242,0.039538714991762765,0.06754530477759473,0.1400329489291598,0.03459637561779242,0.023064250411861616,0.12520593080724876
maćehe,0.025848142164781908,0.05977382875605816,0.022617124394184167,0.03231017770597738,0.048465266558966075,0.0791599353796446,0.14539579967689822,0.04038772213247173,0.0210016155088853,0.13408723747980614
očuhi,0.03184713375796178,0.06050955414012739,0.020700636942675158,0.03184713375796178,0.050955414012738856,0.07006369426751592,0.14331210191082802,0.03662420382165605,0.020700636942675158,0.1337579617834395
dame,0.029940119760479042,0.059880239520958084,0.017964071856287425,0.03293413173652695,0.038922155688622756,0.0718562874251497,0.12874251497005987,0.0344311377245509,0.02245508982035928,0.11526946107784432
gospoda,0.02843601895734597,0.061611374407582936,0.017377567140600316,0.02843601895734597,0.04107424960505529,0.0631911532385466,0.1500789889415482,0.030015797788309637,0.022116903633491312,0.1406003159557662
braća,0.02622950819672131,0.05901639344262295,0.018032786885245903,0.02459016393442623,0.040983606557377046,0.05245901639344262,0.14590163934426228,0.027868852459016394,0.027868852459016394,0.13934426229508196
sestre,0.029411764705882353,0.06372549019607843,0.016339869281045753,0.029411764705882353,0.04738562091503268,0.05392156862745098,0.15522875816993464,0.032679738562091505,0.021241830065359478,0.14215686274509803
majke,0.025817555938037865,0.055077452667814115,0.012048192771084338,0.024096385542168676,0.04475043029259897,0.05679862306368331,0.1566265060240964,0.03098106712564544,0.022375215146299483,0.14113597246127366
očevi,0.033807829181494664,0.05693950177935943,0.028469750889679714,0.026690391459074734,0.04448398576512456,0.0693950177935943,0.15302491103202848,0.03202846975088968,0.030249110320284697,0.1423487544483986
djedovi,0.031141868512110725,0.05363321799307959,0.02422145328719723,0.025951557093425604,0.03460207612456748,0.0726643598615917,0.14359861591695502,0.03460207612456748,0.02768166089965398,0.13321799307958476
bake,0.024,0.0624,0.0176,0.0272,0.0464,0.0576,0.144,0.0304,0.0256,0.136
nevjeste,0.029874213836477988,0.05817610062893082,0.0220125786163522,0.0330188679245283,0.0440251572327044,0.06918238993710692,0.14465408805031446,0.03773584905660377,0.018867924528301886,0.12578616352201258
mladoženje,0.029459901800327332,0.060556464811783964,0.014729950900163666,0.022913256955810146,0.04582651391162029,0.06382978723404255,0.14238952536824878,0.03436988543371522,0.019639934533551555,0.1276595744680851
učenice,0.02356902356902357,0.05387205387205387,0.018518518518518517,0.018518518518518517,0.04040404040404041,0.058922558922558925,0.14814814814814814,0.02861952861952862,0.018518518518518517,0.1447811447811448
školarci,0.027419354838709678,0.06129032258064516,0.017741935483870968,0.024193548387096774,0.04516129032258064,0.05967741935483871,0.14677419354838708,0.03064516129032258,0.025806451612903226,0.14193548387096774
mamice,0.034976152623211444,0.06359300476947535,0.025437201907790145,0.0397456279809221,0.04133545310015898,0.07790143084260731,0.13990461049284578,0.04769475357710652,0.022257551669316374,0.13036565977742448
tatice,0.03164556962025317,0.060126582278481014,0.028481012658227847,0.03481012658227848,0.04588607594936709,0.06487341772151899,0.15031645569620253,0.03481012658227848,0.0189873417721519,0.13449367088607594
