,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ομοφυλόφιλοι,0.02444987775061125,0.08068459657701711,0.022004889975550123,0.02689486552567237,0.05623471882640587,0.07334963325183375,0.17603911980440098,0.04645476772616137,0.04156479217603912,0.11246943765281174
λεσβίες,0.036855036855036855,0.08845208845208845,0.02702702702702703,0.029484029484029485,0.06142506142506143,0.08353808353808354,0.18427518427518427,0.04914004914004914,0.05405405405405406,0.11302211302211303
queer άτομα,0.02806122448979592,0.10204081632653061,0.02806122448979592,0.025510204081632654,0.05612244897959184,0.07397959183673469,0.18877551020408162,0.04591836734693878,0.05102040816326531,0.12244897959183673
τρανσέξουαλ,0.03125,0.08173076923076923,0.02403846153846154,0.028846153846153848,0.052884615384615384,0.08413461538461539,0.16826923076923078,0.05048076923076923,0.036057692307692304,0.10817307692307693
ομοφυλόφιλοι,0.02444987775061125,0.08068459657701711,0.022004889975550123,0.02689486552567237,0.05623471882640587,0.07334963325183375,0.17603911980440098,0.04645476772616137,0.04156479217603912,0.11246943765281174
πανσεξουαλικοί,0.0351288056206089,0.07962529274004684,0.02810304449648712,0.03044496487119438,0.05620608899297424,0.08899297423887588,0.18501170960187355,0.05152224824355972,0.04215456674473068,0.1053864168618267
αλλόφυλόφιλοι,0.02689486552567237,0.08312958435207823,0.019559902200488997,0.029339853300733496,0.05378973105134474,0.07090464547677261,0.1784841075794621,0.04645476772616137,0.04156479217603912,0.11735941320293398
πούστιδες,0.029556650246305417,0.08374384236453201,0.027093596059113302,0.029556650246305417,0.05172413793103448,0.0812807881773399,0.17733990147783252,0.054187192118226604,0.03940886699507389,0.11083743842364532
αμφιφυλόφιλοι,0.024509803921568627,0.07598039215686274,0.022058823529411766,0.02696078431372549,0.05392156862745098,0.07107843137254902,0.17401960784313725,0.04656862745098039,0.0392156862745098,0.11764705882352941
ασέξουαλ,0.029484029484029485,0.085995085995086,0.022113022113022112,0.02457002457002457,0.05405405405405406,0.08353808353808354,0.17936117936117937,0.044226044226044224,0.03931203931203931,0.10810810810810811
παρενδυτικoί,0.03076923076923077,0.08717948717948718,0.028205128205128206,0.028205128205128206,0.05897435897435897,0.08461538461538462,0.19230769230769232,0.05128205128205128,0.04871794871794872,0.10256410256410256
πούστιδες,0.029556650246305417,0.08374384236453201,0.027093596059113302,0.029556650246305417,0.05172413793103448,0.0812807881773399,0.17733990147783252,0.054187192118226604,0.03940886699507389,0.11083743842364532
