,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay people,0.05585106382978723,0.03723404255319149,0.023936170212765957,0.09574468085106383,0.047872340425531915,0.17553191489361702,0.2127659574468085,0.06648936170212766,0.018617021276595744,0.11170212765957446
lesbians,0.04434589800443459,0.03991130820399113,0.04212860310421286,0.09090909090909091,0.050997782705099776,0.15521064301552107,0.19290465631929046,0.0598669623059867,0.022172949002217297,0.10643015521064302
queer people,0.046189376443418015,0.053117782909930716,0.03695150115473441,0.07621247113163972,0.050808314087759814,0.16397228637413394,0.20092378752886836,0.06697459584295612,0.018475750577367205,0.12009237875288684
transgenders,0.03940886699507389,0.05172413793103448,0.03694581280788178,0.06157635467980296,0.027093596059113302,0.12561576354679804,0.15763546798029557,0.04926108374384237,0.012315270935960592,0.0812807881773399
homosexuals,0.04481132075471698,0.03773584905660377,0.030660377358490566,0.07783018867924528,0.05188679245283019,0.15566037735849056,0.19339622641509435,0.05660377358490566,0.01650943396226415,0.12264150943396226
pansexual people,0.03644646924829157,0.04328018223234624,0.029612756264236904,0.07972665148063782,0.04555808656036447,0.15261958997722094,0.19362186788154898,0.04783599088838269,0.022779043280182234,0.10478359908883828
queers,0.04265402843601896,0.04739336492890995,0.04265402843601896,0.07819905213270142,0.037914691943127965,0.14691943127962084,0.2156398104265403,0.06398104265402843,0.018957345971563982,0.14454976303317535
faggots,0.05687203791469194,0.05924170616113744,0.04265402843601896,0.09004739336492891,0.030805687203791468,0.16113744075829384,0.2037914691943128,0.061611374407582936,0.023696682464454975,0.11611374407582939
bisexual people,0.03299492385786802,0.03553299492385787,0.025380710659898477,0.08629441624365482,0.050761421319796954,0.1598984771573604,0.20050761421319796,0.0583756345177665,0.02284263959390863,0.116751269035533
asexual people,0.02947845804988662,0.045351473922902494,0.031746031746031744,0.07936507936507936,0.04308390022675737,0.1473922902494331,0.19501133786848074,0.05215419501133787,0.02040816326530612,0.10884353741496598
crossdressers,0.029082774049217,0.053691275167785234,0.03355704697986577,0.06040268456375839,0.029082774049217,0.1319910514541387,0.18568232662192394,0.04697986577181208,0.013422818791946308,0.09619686800894854
fags,0.04455445544554455,0.0594059405940594,0.022277227722772276,0.08415841584158416,0.04702970297029703,0.13613861386138615,0.21287128712871287,0.05198019801980198,0.024752475247524754,0.13613861386138615
