anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
35.0,36.0,43.0,43.0,46.0,146.0,203.0,64.0,28.0,79.0
51.0,29.0,40.0,46.0,27.0,150.0,170.0,66.0,21.0,57.0
66.0,26.0,51.0,54.0,29.0,164.0,166.0,71.0,21.0,56.0
61.0,23.0,52.0,49.0,30.0,157.0,164.0,74.0,18.0,66.0
38.0,34.0,39.0,43.0,43.0,139.0,185.0,54.0,32.0,68.0
65.0,26.0,61.0,59.0,29.0,173.0,163.0,85.0,17.0,57.0
48.0,31.0,40.0,43.0,33.0,154.0,189.0,61.0,24.0,65.0
63.0,25.0,46.0,52.0,32.0,162.0,171.0,71.0,16.0,63.0
51.0,27.0,38.0,47.0,28.0,144.0,174.0,62.0,22.0,58.0
57.0,32.0,46.0,50.0,31.0,157.0,164.0,76.0,22.0,60.0
