,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay people,0.035794183445190156,0.040268456375838924,0.040268456375838924,0.06935123042505593,0.05145413870246085,0.16554809843400448,0.16554809843400448,0.058165548098434,0.011185682326621925,0.09619686800894854
lesbians,0.03549060542797495,0.03549060542797495,0.04592901878914405,0.06471816283924843,0.04801670146137787,0.14822546972860126,0.17118997912317327,0.05845511482254697,0.014613778705636743,0.09812108559498957
queer people,0.03592814371257485,0.04790419161676647,0.0499001996007984,0.05588822355289421,0.04790419161676647,0.1277445109780439,0.17964071856287425,0.05588822355289421,0.015968063872255488,0.08582834331337326
transgenders,0.03803131991051454,0.04697986577181208,0.040268456375838924,0.0447427293064877,0.042505592841163314,0.14541387024608501,0.15212527964205816,0.053691275167785234,0.011185682326621925,0.08277404921700224
homosexuals,0.035940803382663845,0.03805496828752643,0.046511627906976744,0.06553911205073996,0.048625792811839326,0.16279069767441862,0.15644820295983086,0.05919661733615222,0.014799154334038054,0.10359408033826638
pansexual people,0.03180914512922465,0.02982107355864811,0.041749502982107355,0.05964214711729622,0.0437375745526839,0.15308151093439365,0.18091451292246521,0.055666003976143144,0.015904572564612324,0.10139165009940358
queers,0.03653846153846154,0.05,0.04807692307692308,0.05,0.04038461538461539,0.11346153846153846,0.16538461538461538,0.04423076923076923,0.013461538461538462,0.08269230769230769
faggots,0.04201680672268908,0.046218487394957986,0.05042016806722689,0.05672268907563025,0.0546218487394958,0.14705882352941177,0.15336134453781514,0.04831932773109244,0.01050420168067227,0.08403361344537816
bisexual people,0.03206412825651302,0.04208416833667335,0.04208416833667335,0.06613226452905811,0.052104208416833664,0.16032064128256512,0.16633266533066132,0.05410821643286573,0.01603206412825651,0.10420841683366733
asexual people,0.027450980392156862,0.03333333333333333,0.041176470588235294,0.058823529411764705,0.047058823529411764,0.14705882352941177,0.17647058823529413,0.058823529411764705,0.013725490196078431,0.1
crossdressers,0.031315240083507306,0.04801670146137787,0.04175365344467641,0.060542797494780795,0.05010438413361169,0.14822546972860126,0.16910229645093947,0.054279749478079335,0.014613778705636743,0.10020876826722339
fags,0.04721030042918455,0.03648068669527897,0.05793991416309013,0.060085836909871244,0.05150214592274678,0.15665236051502146,0.18025751072961374,0.06223175965665236,0.012875536480686695,0.08583690987124463
