anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
60.0,53.0,44.0,87.0,59.0,178.0,194.0,107.0,22.0,81.0
39.0,69.0,32.0,63.0,77.0,163.0,253.0,89.0,23.0,129.0
55.0,66.0,47.0,61.0,68.0,177.0,204.0,86.0,26.0,95.0
74.0,45.0,53.0,86.0,53.0,215.0,185.0,108.0,16.0,93.0
51.0,58.0,33.0,63.0,72.0,165.0,227.0,91.0,16.0,95.0
67.0,46.0,50.0,81.0,50.0,203.0,178.0,103.0,17.0,88.0
71.0,49.0,55.0,84.0,52.0,216.0,193.0,105.0,17.0,102.0
75.0,46.0,54.0,87.0,53.0,206.0,182.0,101.0,14.0,97.0
71.0,46.0,51.0,82.0,53.0,201.0,180.0,106.0,16.0,100.0
72.0,49.0,52.0,79.0,53.0,193.0,167.0,104.0,19.0,87.0
