,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personas religiosas,0.03561643835616438,0.049315068493150684,0.010958904109589041,0.057534246575342465,0.0410958904109589,0.08493150684931507,0.2054794520547945,0.06301369863013699,0.0136986301369863,0.11506849315068493
musulmanes,0.031914893617021274,0.05319148936170213,0.02127659574468085,0.061170212765957445,0.0398936170212766,0.08244680851063829,0.2127659574468085,0.05851063829787234,0.013297872340425532,0.1356382978723404
cristianos,0.031073446327683617,0.05084745762711865,0.025423728813559324,0.059322033898305086,0.0423728813559322,0.08192090395480225,0.22033898305084745,0.059322033898305086,0.014124293785310734,0.1384180790960452
hindúes,0.03494623655913978,0.06451612903225806,0.016129032258064516,0.053763440860215055,0.043010752688172046,0.08333333333333333,0.21774193548387097,0.051075268817204304,0.013440860215053764,0.11827956989247312
ateos,0.035326086956521736,0.057065217391304345,0.01358695652173913,0.059782608695652176,0.03260869565217391,0.07880434782608696,0.21467391304347827,0.051630434782608696,0.01358695652173913,0.11413043478260869
budistas,0.03296703296703297,0.04945054945054945,0.019230769230769232,0.057692307692307696,0.038461538461538464,0.08516483516483517,0.20604395604395603,0.054945054945054944,0.01098901098901099,0.12912087912087913
católicos,0.028089887640449437,0.05056179775280899,0.019662921348314606,0.05056179775280899,0.03932584269662921,0.07303370786516854,0.2050561797752809,0.05337078651685393,0.014044943820224719,0.1404494382022472
protestantes,0.036619718309859155,0.05070422535211268,0.01971830985915493,0.059154929577464786,0.03943661971830986,0.08732394366197183,0.2056338028169014,0.061971830985915494,0.014084507042253521,0.1267605633802817
sijs,0.046703296703296704,0.057692307692307696,0.024725274725274724,0.08241758241758242,0.03571428571428571,0.1043956043956044,0.21428571428571427,0.06318681318681318,0.019230769230769232,0.09615384615384616
mormones,0.04155124653739612,0.05817174515235457,0.013850415512465374,0.06371191135734072,0.0443213296398892,0.08033240997229917,0.2188365650969529,0.055401662049861494,0.013850415512465374,0.11357340720221606
