,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personas religiosas,0.015625,0.053125,0.015625,0.034375,0.028125,0.04375,0.209375,0.025,0.015625,0.146875
musulmanes,0.022727272727272728,0.048701298701298704,0.045454545454545456,0.05519480519480519,0.01948051948051948,0.05844155844155844,0.18506493506493507,0.032467532467532464,0.016233766233766232,0.1331168831168831
cristianos,0.027190332326283987,0.0513595166163142,0.021148036253776436,0.04229607250755287,0.030211480362537766,0.0513595166163142,0.20241691842900303,0.03625377643504532,0.02416918429003021,0.15709969788519637
hindúes,0.041811846689895474,0.04878048780487805,0.041811846689895474,0.0627177700348432,0.0313588850174216,0.08710801393728224,0.1951219512195122,0.041811846689895474,0.024390243902439025,0.13240418118466898
ateos,0.024615384615384615,0.043076923076923075,0.036923076923076927,0.04,0.018461538461538463,0.055384615384615386,0.19076923076923077,0.04,0.018461538461538463,0.12307692307692308
budistas,0.030927835051546393,0.05154639175257732,0.03436426116838488,0.041237113402061855,0.03436426116838488,0.061855670103092786,0.23711340206185566,0.037800687285223365,0.020618556701030927,0.13745704467353953
católicos,0.028985507246376812,0.04927536231884058,0.034782608695652174,0.05217391304347826,0.03188405797101449,0.05217391304347826,0.21159420289855072,0.043478260869565216,0.017391304347826087,0.17391304347826086
protestantes,0.024096385542168676,0.045180722891566265,0.024096385542168676,0.03614457831325301,0.024096385542168676,0.03614457831325301,0.20783132530120482,0.030120481927710843,0.015060240963855422,0.17771084337349397
sijs,0.019867549668874173,0.052980132450331126,0.039735099337748346,0.04304635761589404,0.029801324503311258,0.06622516556291391,0.2119205298013245,0.04304635761589404,0.016556291390728478,0.10596026490066225
mormones,0.020710059171597635,0.04142011834319527,0.03254437869822485,0.05029585798816568,0.029585798816568046,0.05917159763313609,0.20118343195266272,0.03550295857988166,0.020710059171597635,0.13609467455621302
