,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ομοφυλόφιλοι,0.25,0.0625,0.1875,0.25,0.0625,0.4375,0.1875,0.125,0.125,0.125
λεσβίες,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.2,0.4,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667
queer άτομα,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0
τρανσέξουαλ,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142
ομοφυλόφιλοι,0.25,0.0625,0.1875,0.25,0.0625,0.4375,0.1875,0.125,0.125,0.125
πανσεξουαλικοί,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
αλλόφυλόφιλοι,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.47368421052631576,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.10526315789473684
πούστιδες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
αμφιφυλόφιλοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142
ασέξουαλ,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.3333333333333333,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.1111111111111111
παρενδυτικoί,0.13636363636363635,0.0,0.13636363636363635,0.22727272727272727,0.0,0.4090909090909091,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.0
πούστιδες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
