,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
μετανάστες,0.029333333333333333,0.11733333333333333,0.037333333333333336,0.029333333333333333,0.042666666666666665,0.07733333333333334,0.13066666666666665,0.050666666666666665,0.037333333333333336,0.08
συντηρητικοί,0.021739130434782608,0.11594202898550725,0.03140096618357488,0.024154589371980676,0.04830917874396135,0.07004830917874397,0.16183574879227053,0.043478260869565216,0.043478260869565216,0.08695652173913043
φιλελεύθεροι,0.030232558139534883,0.1186046511627907,0.030232558139534883,0.020930232558139535,0.05813953488372093,0.07674418604651163,0.18372093023255814,0.03953488372093023,0.03953488372093023,0.08139534883720931
υποστηρικτές του Τράμπ,0.02518891687657431,0.11586901763224182,0.030226700251889168,0.020151133501259445,0.05289672544080604,0.07556675062972293,0.17632241813602015,0.04030226700251889,0.037783375314861464,0.08564231738035265
ψηφοφόροι,0.029891304347826088,0.10326086956521739,0.035326086956521736,0.024456521739130436,0.029891304347826088,0.08152173913043478,0.14945652173913043,0.04619565217391304,0.03260869565217391,0.07065217391304347
κομμουνιστές,0.02610966057441253,0.10704960835509138,0.033942558746736295,0.02610966057441253,0.031331592689295036,0.07571801566579635,0.14360313315926893,0.04699738903394256,0.031331592689295036,0.07571801566579635
καπιταλιστές,0.026004728132387706,0.1182033096926714,0.030732860520094562,0.028368794326241134,0.054373522458628844,0.07328605200945626,0.16548463356973994,0.0425531914893617,0.037825059101654845,0.08983451536643026
λαϊκιστές,0.030927835051546393,0.10824742268041238,0.03350515463917526,0.02577319587628866,0.03350515463917526,0.07989690721649484,0.14432989690721648,0.04639175257731959,0.030927835051546393,0.08247422680412371
σοσιαλιστές,0.029490616621983913,0.10991957104557641,0.03485254691689008,0.024128686327077747,0.029490616621983913,0.08042895442359249,0.128686327077748,0.045576407506702415,0.029490616621983913,0.07506702412868632
Καταλανοί ανεξάρτητοι,0.023872679045092837,0.1220159151193634,0.03183023872679045,0.026525198938992044,0.05570291777188329,0.06631299734748011,0.20424403183023873,0.03713527851458886,0.034482758620689655,0.10079575596816977
