,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.04439252336448598,0.04789719626168224,0.02570093457943925,0.08060747663551401,0.026869158878504672,0.11682242990654206,0.19509345794392524,0.05023364485981308,0.0455607476635514,0.12032710280373832
conservateurs,0.04325032765399738,0.04062909567496723,0.023591087811271297,0.061598951507208385,0.03407601572739188,0.11533420707732635,0.1965923984272608,0.04980340760157274,0.03800786369593709,0.1349934469200524
libéraux,0.05256723716381418,0.044009779951100246,0.02689486552567237,0.06968215158924206,0.034229828850855744,0.12102689486552567,0.19315403422982885,0.05990220048899755,0.03667481662591687,0.1356968215158924
partisans de de Trump,0.03799019607843137,0.04044117647058824,0.00980392156862745,0.06495098039215687,0.0196078431372549,0.09926470588235294,0.17401960784313725,0.0428921568627451,0.03431372549019608,0.13357843137254902
électeurs,0.04302325581395349,0.056976744186046514,0.018604651162790697,0.06279069767441861,0.031395348837209305,0.10813953488372093,0.19069767441860466,0.04883720930232558,0.037209302325581395,0.1325581395348837
communistes,0.06524466750313676,0.04767879548306148,0.03638644918444166,0.07026348808030113,0.03262233375156838,0.15307402760351319,0.178168130489335,0.06900878293601004,0.04140526976160602,0.1329987452948557
capitalistes,0.0630407911001236,0.05067985166872682,0.034610630407911,0.06427688504326329,0.0407911001236094,0.13720642768850433,0.18541409147095178,0.06427688504326329,0.04697156983930779,0.1433868974042027
populistes,0.04742547425474255,0.03929539295392954,0.024390243902439025,0.07181571815718157,0.028455284552845527,0.11924119241192412,0.16937669376693767,0.056910569105691054,0.04336043360433604,0.11924119241192412
socialistes,0.047865459249676584,0.040103492884864166,0.0258732212160414,0.06727037516170763,0.02328589909443726,0.12677878395860284,0.17723156532988357,0.056921086675291076,0.04139715394566624,0.13583441138421734
indépendantistes catalans,0.03617571059431524,0.03875968992248062,0.016795865633074936,0.05813953488372093,0.01937984496124031,0.10335917312661498,0.19509043927648578,0.05167958656330749,0.03229974160206718,0.14728682170542637
