,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Θρησκευόμενοι,0.023752969121140142,0.10688836104513064,0.030878859857482184,0.028503562945368172,0.052256532066508314,0.07600950118764846,0.17577197149643706,0.04513064133016627,0.03800475059382423,0.0855106888361045
μουσουλμάνοι,0.02669902912621359,0.10194174757281553,0.03155339805825243,0.024271844660194174,0.0412621359223301,0.06796116504854369,0.15776699029126215,0.038834951456310676,0.02912621359223301,0.08495145631067962
Χριστιανοί,0.028011204481792718,0.09523809523809523,0.036414565826330535,0.025210084033613446,0.025210084033613446,0.0784313725490196,0.11764705882352941,0.04481792717086835,0.025210084033613446,0.058823529411764705
Ινδουιστές,0.024,0.09333333333333334,0.032,0.021333333333333333,0.029333333333333333,0.07466666666666667,0.14133333333333334,0.042666666666666665,0.024,0.06933333333333333
άθεοι,0.03178484107579462,0.1198044009779951,0.034229828850855744,0.02444987775061125,0.05623471882640587,0.07823960880195599,0.18092909535452323,0.044009779951100246,0.044009779951100246,0.09046454767726161
Βουδιστές,0.025974025974025976,0.10649350649350649,0.03116883116883117,0.02077922077922078,0.04155844155844156,0.07532467532467532,0.14285714285714285,0.04155844155844156,0.03116883116883117,0.08311688311688312
Καθολικοί,0.026385224274406333,0.11609498680738786,0.03430079155672823,0.023746701846965697,0.04221635883905013,0.07651715039577836,0.14775725593667546,0.044854881266490766,0.04221635883905013,0.07387862796833773
Προτεστάντες,0.02877697841726619,0.11031175059952038,0.03117505995203837,0.02158273381294964,0.04316546762589928,0.07673860911270983,0.1630695443645084,0.0407673860911271,0.03117505995203837,0.0815347721822542
Σιχ,0.02710027100271003,0.12195121951219512,0.03523035230352303,0.024390243902439025,0.05962059620596206,0.08401084010840108,0.16802168021680217,0.04878048780487805,0.051490514905149054,0.08943089430894309
Μορμόνοι,0.027972027972027972,0.10955710955710955,0.030303030303030304,0.02097902097902098,0.05128205128205128,0.07459207459207459,0.16317016317016317,0.039627039627039624,0.03496503496503497,0.08857808857808858
