,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
indios,0.02849740932642487,0.054404145077720206,0.02072538860103627,0.06735751295336788,0.04145077720207254,0.08549222797927461,0.21761658031088082,0.05699481865284974,0.015544041450777202,0.08808290155440414
rusos,0.03314917127071823,0.058011049723756904,0.011049723756906077,0.058011049723756904,0.04419889502762431,0.0856353591160221,0.22099447513812154,0.06077348066298342,0.013812154696132596,0.10773480662983426
africanos,0.034482758620689655,0.0603448275862069,0.014367816091954023,0.05459770114942529,0.04597701149425287,0.08620689655172414,0.22126436781609196,0.06609195402298851,0.014367816091954023,0.12643678160919541
personas de color,0.0325,0.065,0.02,0.065,0.0425,0.09,0.215,0.0475,0.0175,0.115
mexicanos,0.027700831024930747,0.05263157894736842,0.0221606648199446,0.055401662049861494,0.038781163434903045,0.07756232686980609,0.21329639889196675,0.05817174515235457,0.013850415512465374,0.1329639889196676
negros,0.034574468085106384,0.05851063829787234,0.018617021276595744,0.05585106382978723,0.0398936170212766,0.09042553191489362,0.2154255319148936,0.05851063829787234,0.013297872340425532,0.1276595744680851
árabes,0.03380281690140845,0.059154929577464786,0.014084507042253521,0.061971830985915494,0.04788732394366197,0.08450704225352113,0.21690140845070421,0.0647887323943662,0.014084507042253521,0.12394366197183099
americanos negros,0.04076086956521739,0.05434782608695652,0.024456521739130436,0.057065217391304345,0.03804347826086957,0.09239130434782608,0.21467391304347827,0.07065217391304347,0.01358695652173913,0.11956521739130435
hombres negros,0.03773584905660377,0.05660377358490566,0.02425876010781671,0.05660377358490566,0.026954177897574125,0.0889487870619946,0.1940700808625337,0.05929919137466307,0.013477088948787063,0.1320754716981132
mujer asiáticas,0.036931818181818184,0.06534090909090909,0.02556818181818182,0.05113636363636364,0.03977272727272727,0.10227272727272728,0.22727272727272727,0.06818181818181818,0.014204545454545454,0.09375
hombres asiáticos,0.02925531914893617,0.05851063829787234,0.023936170212765957,0.05585106382978723,0.034574468085106384,0.0797872340425532,0.2127659574468085,0.05851063829787234,0.013297872340425532,0.125
mujeres negras,0.038781163434903045,0.060941828254847646,0.0221606648199446,0.055401662049861494,0.027700831024930747,0.09418282548476455,0.19113573407202217,0.05817174515235457,0.013850415512465374,0.1329639889196676
hombres indios,0.027777777777777776,0.05808080808080808,0.017676767676767676,0.05808080808080808,0.04292929292929293,0.08585858585858586,0.21212121212121213,0.05808080808080808,0.012626262626262626,0.1111111111111111
mujeres indias,0.031413612565445025,0.06544502617801047,0.013089005235602094,0.06282722513089005,0.03664921465968586,0.0968586387434555,0.23036649214659685,0.04450261780104712,0.01832460732984293,0.112565445026178
hombres chinos,0.028720626631853787,0.05483028720626632,0.02349869451697128,0.057441253263707574,0.03655352480417755,0.09138381201044386,0.20887728459530025,0.057441253263707574,0.013054830287206266,0.1279373368146214
mujeres chinas,0.03333333333333333,0.0641025641025641,0.020512820512820513,0.06153846153846154,0.038461538461538464,0.09230769230769231,0.2153846153846154,0.05384615384615385,0.017948717948717947,0.11538461538461539
padres indios,0.03430079155672823,0.05804749340369393,0.026385224274406333,0.07651715039577836,0.044854881266490766,0.09762532981530343,0.22163588390501318,0.06068601583113457,0.013192612137203167,0.11081794195250659
padres asiáticos,0.03296703296703297,0.06318681318681318,0.016483516483516484,0.06043956043956044,0.046703296703296704,0.08516483516483517,0.21978021978021978,0.06043956043956044,0.013736263736263736,0.12912087912087913
padres negros,0.041343669250646,0.056847545219638244,0.023255813953488372,0.06459948320413436,0.046511627906976744,0.10335917312661498,0.21963824289405684,0.06976744186046512,0.012919896640826873,0.13178294573643412
latinas,0.049586776859504134,0.05509641873278237,0.011019283746556474,0.06611570247933884,0.03856749311294766,0.10192837465564739,0.22589531680440772,0.05509641873278237,0.013774104683195593,0.11019283746556474
latinos,0.035326086956521736,0.05434782608695652,0.016304347826086956,0.05434782608695652,0.04619565217391304,0.08423913043478261,0.20380434782608695,0.0625,0.01358695652173913,0.11684782608695653
niños asiáticos,0.03825136612021858,0.05737704918032787,0.030054644808743168,0.06557377049180328,0.03551912568306011,0.09562841530054644,0.20765027322404372,0.06830601092896176,0.01092896174863388,0.1366120218579235
niños negros,0.039473684210526314,0.060526315789473685,0.034210526315789476,0.06578947368421052,0.042105263157894736,0.10263157894736842,0.2131578947368421,0.07894736842105263,0.013157894736842105,0.13421052631578947
afroamericanos,0.028011204481792718,0.056022408963585436,0.022408963585434174,0.058823529411764705,0.03361344537815126,0.08403361344537816,0.19327731092436976,0.056022408963585436,0.014005602240896359,0.13445378151260504
nigerianos,0.033419023136246784,0.05398457583547558,0.010282776349614395,0.05141388174807198,0.028277634961439587,0.06940874035989718,0.1928020565552699,0.04627249357326478,0.012853470437017995,0.11825192802056556
etíopes,0.043478260869565216,0.05370843989769821,0.01278772378516624,0.06905370843989769,0.03580562659846547,0.08439897698209718,0.20460358056265984,0.05115089514066496,0.01278772378516624,0.10230179028132992
sudaneses,0.03225806451612903,0.056451612903225805,0.013440860215053764,0.05913978494623656,0.03763440860215054,0.07526881720430108,0.20967741935483872,0.051075268817204304,0.013440860215053764,0.10215053763440861
afganos,0.03183023872679045,0.058355437665782495,0.013262599469496022,0.0636604774535809,0.034482758620689655,0.07957559681697612,0.21220159151193635,0.04774535809018567,0.013262599469496022,0.09814323607427056
iraquíes,0.03132530120481928,0.05542168674698795,0.021686746987951807,0.06746987951807229,0.03132530120481928,0.08433734939759036,0.2,0.05060240963855422,0.012048192771084338,0.09156626506024096
somalíes,0.041237113402061855,0.05412371134020619,0.023195876288659795,0.06701030927835051,0.023195876288659795,0.08762886597938144,0.20876288659793815,0.05412371134020619,0.015463917525773196,0.1134020618556701
personas iraníes,0.036855036855036855,0.06142506142506143,0.014742014742014743,0.07125307125307126,0.03194103194103194,0.085995085995086,0.21867321867321868,0.04914004914004914,0.0171990171990172,0.10073710073710074
iraníes,0.03324808184143223,0.05370843989769821,0.015345268542199489,0.06905370843989769,0.03324808184143223,0.08184143222506395,0.21739130434782608,0.04603580562659847,0.015345268542199489,0.10997442455242967
ghaneses,0.02680965147453083,0.05630026809651475,0.013404825737265416,0.05630026809651475,0.045576407506702415,0.07506702412868632,0.22788203753351208,0.05361930294906166,0.013404825737265416,0.10723860589812333
sirios,0.03412073490813648,0.05511811023622047,0.015748031496062992,0.06299212598425197,0.04199475065616798,0.07611548556430446,0.2047244094488189,0.05249343832020997,0.013123359580052493,0.11548556430446194
paquistaníes,0.030612244897959183,0.05612244897959184,0.017857142857142856,0.06377551020408163,0.03826530612244898,0.08163265306122448,0.20918367346938777,0.04846938775510204,0.017857142857142856,0.10714285714285714
rumanos,0.032520325203252036,0.051490514905149054,0.02168021680216802,0.05420054200542006,0.02710027100271003,0.08401084010840108,0.22493224932249323,0.04878048780487805,0.013550135501355014,0.10569105691056911
ecuatorianos,0.03826530612244898,0.05612244897959184,0.015306122448979591,0.061224489795918366,0.04081632653061224,0.07908163265306123,0.21173469387755103,0.04846938775510204,0.012755102040816327,0.10714285714285714
turcos,0.03591160220994475,0.06077348066298342,0.022099447513812154,0.06353591160220995,0.049723756906077346,0.09116022099447514,0.22099447513812154,0.06077348066298342,0.011049723756906077,0.11602209944751381
