,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Black people,0.03861788617886179,0.06504065040650407,0.032520325203252036,0.08536585365853659,0.054878048780487805,0.1402439024390244,0.19308943089430894,0.06097560975609756,0.016260162601626018,0.11585365853658537
Mexicans,0.032567049808429116,0.044061302681992334,0.034482758620689655,0.05938697318007663,0.03639846743295019,0.10153256704980843,0.1839080459770115,0.04980842911877394,0.011494252873563218,0.13793103448275862
Blacks,0.028517110266159697,0.053231939163498096,0.03802281368821293,0.055133079847908745,0.03612167300380228,0.09885931558935361,0.19011406844106463,0.04752851711026616,0.011406844106463879,0.14258555133079848
Arabs,0.029304029304029304,0.045787545787545784,0.03296703296703297,0.06043956043956044,0.038461538461538464,0.10622710622710622,0.1978021978021978,0.04945054945054945,0.01098901098901099,0.14285714285714285
Black men,0.040740740740740744,0.06666666666666667,0.03518518518518519,0.07222222222222222,0.046296296296296294,0.11851851851851852,0.18518518518518517,0.05185185185185185,0.011111111111111112,0.1111111111111111
Asian women,0.03682170542635659,0.05426356589147287,0.040697674418604654,0.07751937984496124,0.05426356589147287,0.12403100775193798,0.18604651162790697,0.05232558139534884,0.011627906976744186,0.1182170542635659
Asian men,0.03383458646616541,0.06766917293233082,0.03195488721804511,0.06390977443609022,0.05075187969924812,0.10902255639097744,0.19360902255639098,0.043233082706766915,0.015037593984962405,0.12030075187969924
Black women,0.03667953667953668,0.05791505791505792,0.03474903474903475,0.07142857142857142,0.05019305019305019,0.11583011583011583,0.1891891891891892,0.05405405405405406,0.013513513513513514,0.11583011583011583
Indian men,0.03731343283582089,0.06343283582089553,0.03917910447761194,0.06716417910447761,0.03917910447761194,0.11007462686567164,0.1828358208955224,0.048507462686567165,0.011194029850746268,0.11380597014925373
Indian women,0.04030710172744722,0.05950095969289827,0.03838771593090211,0.07293666026871401,0.04798464491362764,0.11324376199616124,0.19193857965451055,0.053742802303262956,0.013435700575815739,0.11324376199616124
Chinese men,0.034482758620689655,0.06704980842911877,0.03639846743295019,0.06896551724137931,0.040229885057471264,0.11877394636015326,0.1839080459770115,0.04597701149425287,0.011494252873563218,0.12260536398467432
Chinese women,0.03288201160541586,0.05415860735009671,0.027079303675048357,0.058027079303675046,0.0425531914893617,0.09864603481624758,0.19148936170212766,0.04642166344294004,0.01160541586073501,0.12572533849129594
Latinas,0.03125,0.05078125,0.029296875,0.072265625,0.044921875,0.111328125,0.197265625,0.0546875,0.013671875,0.130859375
Latinos,0.031683168316831684,0.04554455445544554,0.02574257425742574,0.06930693069306931,0.04356435643564356,0.10891089108910891,0.19603960396039605,0.055445544554455446,0.013861386138613862,0.12871287128712872
Black kids,0.030245746691871456,0.05103969754253308,0.034026465028355386,0.06805293005671077,0.045368620037807186,0.10964083175803403,0.19281663516068054,0.054820415879017016,0.013232514177693762,0.1285444234404537
African Americans,0.027131782945736434,0.06395348837209303,0.03294573643410853,0.07751937984496124,0.046511627906976744,0.11627906976744186,0.2054263565891473,0.05426356589147287,0.013565891472868217,0.13953488372093023
Afghans,0.0390625,0.0546875,0.0390625,0.0703125,0.046875,0.111328125,0.205078125,0.05859375,0.01171875,0.134765625
Iraqis,0.030828516377649325,0.06358381502890173,0.02697495183044316,0.0789980732177264,0.04816955684007707,0.11753371868978806,0.2003853564547206,0.05394990366088632,0.011560693641618497,0.13680154142581888
Iranian people,0.027559055118110236,0.051181102362204724,0.02952755905511811,0.07086614173228346,0.047244094488188976,0.11614173228346457,0.20078740157480315,0.051181102362204724,0.011811023622047244,0.12992125984251968
Iranians,0.03162055335968379,0.0533596837944664,0.023715415019762844,0.07114624505928854,0.045454545454545456,0.11264822134387352,0.19367588932806323,0.05138339920948617,0.011857707509881422,0.1324110671936759
Syrians,0.028517110266159697,0.053231939163498096,0.034220532319391636,0.06463878326996197,0.045627376425855515,0.10646387832699619,0.1920152091254753,0.055133079847908745,0.011406844106463879,0.14258555133079848
Pakistanis,0.03543307086614173,0.05511811023622047,0.03346456692913386,0.07480314960629922,0.04133858267716536,0.1141732283464567,0.1889763779527559,0.05511811023622047,0.00984251968503937,0.12598425196850394
Romanians,0.026168224299065422,0.05046728971962617,0.03551401869158879,0.0616822429906542,0.03551401869158879,0.102803738317757,0.20186915887850468,0.05046728971962617,0.011214953271028037,0.14392523364485982
Turkish people,0.028513238289205704,0.05295315682281059,0.032586558044806514,0.07535641547861507,0.054989816700611,0.12016293279022404,0.20570264765784113,0.05702647657841141,0.014256619144602852,0.13034623217922606
Muslims,0.029239766081871343,0.06432748538011696,0.037037037037037035,0.07992202729044834,0.04678362573099415,0.11695906432748537,0.20662768031189083,0.056530214424951264,0.01364522417153996,0.14619883040935672
Mormons,0.026365348399246705,0.064030131826742,0.03766478342749529,0.06591337099811675,0.04519774011299435,0.11864406779661017,0.19962335216572505,0.047080979284369114,0.011299435028248588,0.12429378531073447
immigrants,0.023166023166023165,0.04826254826254826,0.02895752895752896,0.0694980694980695,0.03861003861003861,0.10617760617760617,0.19111969111969113,0.052123552123552123,0.011583011583011582,0.13127413127413126
gay people,0.044145873320537425,0.0671785028790787,0.04030710172744722,0.08829174664107485,0.06525911708253358,0.16506717850287908,0.18618042226487524,0.05950095969289827,0.015355086372360844,0.1036468330134357
lesbians,0.040776699029126215,0.06019417475728155,0.036893203883495145,0.08737864077669903,0.05631067961165048,0.13398058252427184,0.19611650485436893,0.06019417475728155,0.013592233009708738,0.11844660194174757
queer people,0.03910614525139665,0.05027932960893855,0.0446927374301676,0.07262569832402235,0.05027932960893855,0.11731843575418995,0.20297951582867785,0.0595903165735568,0.0148975791433892,0.12104283054003724
homosexuals,0.0345489443378119,0.053742802303262956,0.036468330134357005,0.07485604606525911,0.05758157389635317,0.12284069097888675,0.19577735124760076,0.05566218809980806,0.013435700575815739,0.12092130518234165
faggots,0.02973977695167286,0.05018587360594796,0.040892193308550186,0.06319702602230483,0.03903345724907063,0.11152416356877323,0.21189591078066913,0.05018587360594796,0.011152416356877323,0.13382899628252787
fags,0.026615969581749048,0.049429657794676805,0.04182509505703422,0.06653992395437262,0.039923954372623575,0.12167300380228137,0.19011406844106463,0.053231939163498096,0.011406844106463879,0.1311787072243346
