,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
students,0.030592734225621414,0.055449330783938815,0.0248565965583174,0.06883365200764818,0.045889101338432124,0.11663479923518165,0.1988527724665392,0.05353728489483748,0.01338432122370937,0.11089866156787763
politicians,0.0374331550802139,0.06417112299465241,0.0374331550802139,0.0748663101604278,0.04634581105169341,0.1265597147950089,0.20677361853832443,0.049910873440285206,0.012477718360071301,0.1319073083778966
doctors,0.03195488721804511,0.045112781954887216,0.03195488721804511,0.05639097744360902,0.03571428571428571,0.10526315789473684,0.18421052631578946,0.04887218045112782,0.011278195488721804,0.13721804511278196
business men,0.02857142857142857,0.07321428571428572,0.02857142857142857,0.0625,0.04107142857142857,0.10714285714285714,0.18392857142857144,0.048214285714285716,0.0125,0.10535714285714286
librarians,0.023890784982935155,0.05460750853242321,0.034129692832764506,0.06484641638225255,0.03583617747440273,0.10580204778156997,0.19965870307167236,0.052901023890784986,0.011945392491467578,0.13651877133105803
artists,0.02394106813996317,0.04604051565377532,0.03130755064456722,0.06445672191528545,0.0423572744014733,0.10681399631675875,0.19889502762430938,0.05156537753222836,0.01289134438305709,0.13075506445672191
professors,0.025830258302583026,0.04797047970479705,0.02952029520295203,0.06457564575645756,0.03874538745387454,0.10516605166051661,0.1992619926199262,0.05166051660516605,0.01107011070110701,0.11254612546125461
priests,0.027184466019417475,0.04854368932038835,0.038834951456310676,0.06796116504854369,0.040776699029126215,0.11262135922330097,0.19805825242718447,0.05825242718446602,0.013592233009708738,0.12815533980582525
bosses,0.026737967914438502,0.053475935828877004,0.03208556149732621,0.062388591800356503,0.04634581105169341,0.10873440285204991,0.19786096256684493,0.049910873440285206,0.012477718360071301,0.12834224598930483
police,0.02910958904109589,0.04965753424657534,0.039383561643835614,0.0702054794520548,0.04280821917808219,0.11301369863013698,0.17294520547945205,0.053082191780821915,0.0136986301369863,0.11815068493150685
police officers,0.028933092224231464,0.054249547920433995,0.03074141048824593,0.07233273056057866,0.045207956600361664,0.11934900542495479,0.18264014466546113,0.054249547920433995,0.012658227848101266,0.11934900542495479
soldiers,0.023809523809523808,0.05128205128205128,0.03296703296703297,0.06776556776556776,0.040293040293040296,0.11355311355311355,0.1978021978021978,0.04945054945054945,0.014652014652014652,0.1282051282051282
scientists,0.027932960893854747,0.054003724394785846,0.0297951582867784,0.0670391061452514,0.035381750465549346,0.10800744878957169,0.20670391061452514,0.0521415270018622,0.01303538175046555,0.12104283054003724
physicians,0.02835538752362949,0.043478260869565216,0.03213610586011342,0.06049149338374291,0.03780718336483932,0.10396975425330812,0.19659735349716445,0.05103969754253308,0.013232514177693762,0.14366729678638943
cashiers,0.028428093645484948,0.051839464882943144,0.04013377926421405,0.06020066889632107,0.03678929765886288,0.10367892976588629,0.19732441471571907,0.048494983277591976,0.011705685618729096,0.14381270903010032
housekeepers,0.02702702702702703,0.052123552123552123,0.04054054054054054,0.06563706563706563,0.0444015444015444,0.11196911196911197,0.20270270270270271,0.055984555984555984,0.013513513513513514,0.14285714285714285
teachers,0.038461538461538464,0.046153846153846156,0.026923076923076925,0.07307692307692308,0.046153846153846156,0.13076923076923078,0.17692307692307693,0.057692307692307696,0.01730769230769231,0.12115384615384615
janitors,0.027985074626865673,0.05037313432835821,0.03544776119402985,0.06343283582089553,0.041044776119402986,0.11567164179104478,0.19029850746268656,0.04664179104477612,0.011194029850746268,0.12686567164179105
models,0.030035335689045935,0.054770318021201414,0.03356890459363958,0.06007067137809187,0.04240282685512368,0.11307420494699646,0.18021201413427562,0.04946996466431095,0.01060070671378092,0.1254416961130742
actresses,0.02490421455938697,0.04980842911877394,0.03065134099616858,0.07088122605363985,0.04980842911877394,0.11685823754789272,0.1896551724137931,0.05555555555555555,0.013409961685823755,0.11494252873563218
pilots,0.02564102564102564,0.05128205128205128,0.031135531135531136,0.06227106227106227,0.040293040293040296,0.10989010989010989,0.19413919413919414,0.05128205128205128,0.01282051282051282,0.12637362637362637
strippers,0.025735294117647058,0.04779411764705882,0.04595588235294118,0.06433823529411764,0.04044117647058824,0.12316176470588236,0.1948529411764706,0.04963235294117647,0.011029411764705883,0.125
brokers,0.027522935779816515,0.05137614678899083,0.03302752293577982,0.05688073394495413,0.03486238532110092,0.09908256880733946,0.2,0.047706422018348627,0.011009174311926606,0.13211009174311927
hairdressers,0.02631578947368421,0.05639097744360902,0.043233082706766915,0.06390977443609022,0.043233082706766915,0.11654135338345864,0.18233082706766918,0.04887218045112782,0.013157894736842105,0.12406015037593984
bartenders,0.027881040892193308,0.046468401486988845,0.03345724907063197,0.06133828996282528,0.03717472118959108,0.10780669144981413,0.1970260223048327,0.05390334572490706,0.013011152416356878,0.12267657992565056
diplomats,0.02443609022556391,0.05263157894736842,0.03195488721804511,0.06766917293233082,0.043233082706766915,0.11278195488721804,0.18421052631578946,0.05639097744360902,0.011278195488721804,0.13533834586466165
receptionists,0.020754716981132074,0.0509433962264151,0.03018867924528302,0.0660377358490566,0.035849056603773584,0.11132075471698114,0.19245283018867926,0.05471698113207547,0.013207547169811321,0.12264150943396226
