,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
elders,0.12589928057553956,0.05155875299760192,0.11270983213429256,0.15467625899280577,0.03836930455635491,0.23860911270983212,0.15587529976019185,0.09592326139088729,0.045563549160671464,0.14268585131894485
kids,0.09385863267670916,0.04982618771726535,0.08458864426419467,0.14600231749710313,0.04519119351100811,0.21089223638470453,0.12166859791425261,0.07300115874855156,0.039397450753186555,0.10660486674391657
millenials,0.09339407744874716,0.05011389521640091,0.08314350797266515,0.1378132118451025,0.03986332574031891,0.2072892938496583,0.15034168564920272,0.09908883826879271,0.04214123006833713,0.10022779043280182
teens,0.11267605633802817,0.04225352112676056,0.0880281690140845,0.15023474178403756,0.03403755868544601,0.22065727699530516,0.12910798122065728,0.07511737089201878,0.03990610328638498,0.10093896713615023
boomers,0.08174097664543524,0.04883227176220807,0.07218683651804671,0.1040339702760085,0.03184713375796178,0.18789808917197454,0.16985138004246284,0.07961783439490445,0.032908704883227176,0.10191082802547771
old people,0.10877626699629171,0.048207663782447466,0.09888751545117429,0.138442521631644,0.03584672435105068,0.2138442521631644,0.13597033374536466,0.07169344870210136,0.04573547589616811,0.11124845488257108
old women,0.1070528967254408,0.04534005037783375,0.09445843828715365,0.1297229219143577,0.03904282115869018,0.21158690176322417,0.1397984886649874,0.06801007556675064,0.04785894206549118,0.12216624685138538
children,0.10502793296089385,0.05698324022346369,0.09385474860335195,0.1564245810055866,0.049162011173184354,0.21675977653631284,0.13966480446927373,0.08268156424581005,0.0446927374301676,0.11731843575418995
teenagers,0.11225658648339061,0.045819014891179836,0.09049255441008018,0.140893470790378,0.04009163802978236,0.21764032073310424,0.13974799541809851,0.07445589919816724,0.044673539518900345,0.10882016036655212
daughters,0.11428571428571428,0.058333333333333334,0.09642857142857143,0.1630952380952381,0.04880952380952381,0.2511904761904762,0.13690476190476192,0.10833333333333334,0.04285714285714286,0.13095238095238096
sons,0.11421628189550426,0.05710814094775213,0.09963547995139732,0.15795868772782504,0.04495747266099635,0.23815309842041313,0.13001215066828675,0.09234507897934387,0.0425273390036452,0.12515188335358446
