,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
homosexuels,0.07897664071190211,0.035595105672969966,0.058954393770856504,0.08120133481646273,0.04338153503893215,0.15350389321468297,0.17686318131256953,0.054505005561735265,0.0389321468298109,0.08898776418242492
lesbiennes,0.0757238307349666,0.0467706013363029,0.05790645879732739,0.0757238307349666,0.053452115812917596,0.16146993318485522,0.19042316258351893,0.05902004454342984,0.0400890868596882,0.09242761692650334
queers,0.07236842105263158,0.03728070175438596,0.05043859649122807,0.08442982456140351,0.041666666666666664,0.15021929824561403,0.16557017543859648,0.06030701754385965,0.04057017543859649,0.08662280701754387
transgenres,0.05646036916395222,0.04017372421281216,0.04343105320304017,0.07057546145494029,0.04560260586319218,0.12269272529858849,0.18892508143322476,0.04777415852334419,0.03691639522258415,0.09446254071661238
homosexuels,0.07897664071190211,0.035595105672969966,0.058954393770856504,0.08120133481646273,0.04338153503893215,0.15350389321468297,0.17686318131256953,0.054505005561735265,0.0389321468298109,0.08898776418242492
personnes pansexuelles,0.07222222222222222,0.04111111111111111,0.05444444444444444,0.0811111111111111,0.04888888888888889,0.15,0.19111111111111112,0.05333333333333334,0.044444444444444446,0.09777777777777778
personnes queers,0.06455142231947483,0.038293216630196934,0.047045951859956234,0.0787746170678337,0.0437636761487965,0.13676148796498905,0.175054704595186,0.05798687089715536,0.038293216630196934,0.09518599562363239
pédés,0.07025246981339188,0.04610318331503842,0.048298572996706916,0.08232711306256861,0.04939626783754116,0.1394072447859495,0.18111964873765093,0.059275521405049394,0.042810098792535674,0.09989023051591657
personnes bisexuelles,0.07650862068965517,0.040948275862068964,0.05818965517241379,0.08189655172413793,0.04633620689655173,0.15193965517241378,0.1853448275862069,0.057112068965517244,0.04633620689655173,0.09267241379310345
personnes asexuelles,0.07447973713033954,0.040525739320920046,0.05366922234392114,0.08214676889375684,0.047097480832420595,0.1511500547645126,0.1851040525739321,0.054764512595837894,0.04819277108433735,0.09200438116100766
travestis,0.0661345496009122,0.039908779931584946,0.05131128848346636,0.07297605473204105,0.04789053591790194,0.1402508551881414,0.1790193842645382,0.04789053591790194,0.04104903078677309,0.09122006841505131
tapettes,0.06829765545361875,0.0254841997961264,0.05708460754332314,0.07951070336391437,0.03567787971457696,0.1437308868501529,0.15494393476044852,0.06931702344546381,0.029561671763506627,0.07951070336391437
